level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2437,2437,212.0103,0.42579189,0.090491921,0.0,0,9.0922337,0.0,0.0060958923,4.2624669,10.140811,500.39365,-9.2089701
2438,2438,212.0105,1.640931,0.11184091,0.0,0,9.0629702,0.0,0.0073444108,16.826853,10.103209,500.45395,-9.2083368
2439,2439,212.0107,3.2889717,0.14669029,0.0,0,9.0337057,0.0,0.0091848122,37.511425,10.07314,500.51422,-9.2084837
2440,2440,212.0109,4.3338475,0.18381904,0.0,0,9.0044422,0.0,0.011890721,52.55127,10.046939,500.57449,-9.2077169
2441,2441,212.0111,4.7077785,0.21328419,0.0,0,8.9751778,0.0,0.014155177,58.485943,10.013556,500.6348,-9.2060976
2442,2442,212.0113,4.7515926,0.24676077,0.0,0,8.9459143,0.0,0.015957301,59.606655,9.971734,500.69507,-9.203784
2443,2443,212.0115,4.7625852,0.30824369,0.0,0,8.9166498,0.0,0.019780027,59.480606,9.9260597,500.75534,-9.2020216
2444,2444,212.0117,4.632462,0.39446646,0.0,0,8.8873854,0.0,0.025656467,58.038136,9.8761816,500.81561,-9.2019873
2445,2445,212.0119,4.3270526,0.47480282,0.0,0,8.8581219,0.0,0.031043185,54.231472,9.8234386,500.87592,-9.202713
2446,2446,212.0121,4.2640038,0.52533001,0.0,0,8.8288574,0.0,0.034938399,52.240852,9.7673416,500.93619,-9.2039661
2447,2447,212.0123,4.6089058,0.56114042,0.0,0,8.7995939,0.0,0.037822299,55.571522,9.7069063,500.99646,-9.204917
2448,2448,212.0125,4.764317,0.61606091,0.0,0,8.7703295,0.0,0.040981539,58.153465,9.6490374,501.05676,-9.2053814
2449,2449,212.0127,4.6787691,0.68525076,0.0,0,8.7416534,0.0,0.045575093,57.154308,9.5956955,501.11703,-9.2057419
2450,2450,212.0129,4.8445601,0.73709947,0.0,0,8.7136869,0.0,0.050029706,58.105347,9.5467072,501.17731,-9.2057428
2451,2451,212.0131,5.1296306,0.76151448,0.0,0,8.6858492,0.0,0.051964048,61.524139,9.4985342,501.23761,-9.2052736
2452,2452,212.0133,5.0186124,0.76774251,0.0,0,8.6580172,0.0,0.052254975,61.228172,9.4512434,501.29788,-9.2043619
2453,2453,212.0135,4.5476437,0.78389442,0.0,0,8.6301851,0.0,0.053505383,56.074245,9.4090919,501.35815,-9.2030344
2454,2454,212.0137,4.318943,0.83372056,0.0,0,8.6023531,0.0,0.056482207,52.175064,9.36973,501.41846,-9.2029247
2455,2455,212.0139,4.6091723,0.8852852,0.0,0,8.5745211,0.0,0.059988666,54.335114,9.3308697,501.47873,-9.20399
2456,2456,212.0141,5.043262,0.90539366,0.0,0,8.546689,0.0,0.062246569,59.472534,9.2931652,501.539,-9.2040358
2457,2457,212.0143,5.2257395,0.92035365,0.0,0,8.518857,0.0,0.063188367,62.299873,9.2577581,501.5993,-9.2031031
2458,2458,212.0145,5.2342515,0.95413858,0.0,0,8.491025,0.0,0.064904742,62.499676,9.2189684,501.65958,-9.2022839
2459,2459,212.0147,5.2753077,1.0050497,0.0,0,8.4631929,0.0,0.068649739,62.599689,9.1778088,501.71985,-9.201726
2460,2460,212.0149,5.2419529,1.0717932,0.0,0,8.4353609,0.0,0.073335342,62.289967,9.1378469,501.78015,-9.2024746
2461,2461,212.0151,5.0003142,1.1270803,0.0,0,8.4075289,0.0,0.077077314,59.629826,9.0959883,501.84042,-9.2034283
2462,2462,212.0153,4.7837505,1.1560451,0.0,0,8.3796968,0.0,0.079759419,56.630009,9.0520029,501.9007,-9.2042055
2463,2463,212.0155,4.817059,1.1938062,0.0,0,8.3518648,0.0,0.082505412,56.216427,9.0085802,501.961,-9.2055254
2464,2464,212.0157,4.9861264,1.2447009,0.0,0,8.3240328,0.0,0.085585259,57.839733,8.9663515,502.02127,-9.2056055
2465,2465,212.0159,5.0774345,1.2807752,0.0,0,8.2962008,0.0,0.088670887,58.984585,8.9227295,502.08154,-9.2043247
2466,2466,212.0161,5.0636411,1.3099302,0.0,0,8.2683687,0.0,0.091216385,58.864784,8.8808317,502.14185,-9.2035141
2467,2467,212.0163,5.0738988,1.3360677,0.0,0,8.2405367,0.0,0.092706814,58.778332,8.8441954,502.20212,-9.2027454
2468,2468,212.0165,5.1271648,1.3554649,0.0,0,8.2127056,0.0,0.094259463,59.165306,8.8098383,502.26239,-9.2022352
2469,2469,212.0167,5.0922098,1.392681,0.0,0,8.1848736,0.0,0.097129397,58.852951,8.7773256,502.32266,-9.2022018
2470,2470,212.0169,4.9566007,1.4372058,0.0,0,8.1570406,0.0,0.099964097,57.417103,8.7445269,502.38297,-9.2021313
2471,2471,212.0171,4.8795347,1.4591674,0.0,0,8.1292095,0.0,0.10188583,56.149014,8.7137604,502.44324,-9.2028723
2472,2472,212.0173,4.9852657,1.4789712,0.0,0,8.1013775,0.0,0.10374139,56.799969,8.6866627,502.50174,-9.2036495
2473,2473,212.0175,5.2045774,1.5076636,0.0,0,8.0735445,0.0,0.10534369,59.140373,8.6583624,502.56021,-9.2044296
2474,2474,212.0177,5.3593588,1.5358565,0.0,0,8.0462675,0.0,0.1073271,61.055058,8.626852,502.61871,-9.2049904
2475,2475,212.0179,5.3653584,1.5772005,0.0,0,8.0196619,0.0,0.11071683,61.251522,8.5952625,502.67722,-9.2042713
2476,2476,212.0181,5.2648244,1.6239731,0.0,0,7.993176,0.0,0.11391301,60.000759,8.5638933,502.73572,-9.2030745
2477,2477,212.0183,5.1717353,1.6546289,0.0,0,7.9666953,0.0,0.11622236,58.707916,8.5334101,502.79419,-9.2029696
2478,2478,212.0185,5.1186895,1.6853219,0.0,0,7.9402156,0.0,0.1189559,57.923721,8.4996986,502.85269,-9.2028255
2479,2479,212.0187,5.0761561,1.723981,0.0,0,7.9137354,0.0,0.12156626,57.274704,8.4665546,502.91119,-9.2019691
2480,2480,212.0189,5.0725255,1.7533647,0.0,0,7.8872552,0.0,0.12359548,57.024673,8.4348507,502.96967,-9.2012205
2481,2481,212.0191,5.1170645,1.7769345,0.0,0,7.860775,0.0,0.12594907,57.278809,8.4044552,503.02817,-9.2020283
2482,2482,212.0193,5.1573625,1.7999622,0.0,0,7.8342953,0.0,0.12766396,57.681656,8.3767338,503.08667,-9.2029524
2483,2483,212.0195,5.1679564,1.8154349,0.0,0,7.8078156,0.0,0.12846719,57.869583,8.3494892,503.14514,-9.2029753
2484,2484,212.0197,5.1550612,1.8349576,0.0,0,7.7813349,0.0,0.13025635,57.643852,8.3211689,503.20364,-9.2042732
2485,2485,212.0199,5.1281219,1.865653,0.0,0,7.7548552,0.0,0.13259666,57.22855,8.2929087,503.26215,-9.2052021
2486,2486,212.0201,5.0828199,1.8933761,0.0,0,7.728375,0.0,0.13434458,56.720249,8.267787,503.32062,-9.2053995
2487,2487,212.0203,5.0569549,1.9150113,0.0,0,7.7018952,0.0,0.13634416,56.278187,8.2428608,503.37912,-9.2050924
2488,2488,212.0205,5.1386843,1.9343287,0.0,0,7.675415,0.0,0.13803171,56.795135,8.2188654,503.43762,-9.2040358
2489,2489,212.0207,5.2818112,1.9519892,0.0,0,7.6489348,0.0,0.13889946,58.181911,8.1965075,503.49609,-9.2035131
2490,2490,212.0209,5.3472643,1.9737804,0.0,0,7.6224551,0.0,0.140689,59.016792,8.1719933,503.5546,-9.2030067
2491,2491,212.0211,5.2913041,2.0031202,0.0,0,7.5959754,0.0,0.14319767,58.512257,8.1465921,503.6131,-9.2022429
2492,2492,212.0213,5.2282643,2.0347571,0.0,0,7.5694952,0.0,0.14518227,57.711456,8.1238413,503.67157,-9.2026234
