level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1774,1774,145.3667,1.1697621,0.0090850368,0.0,0,9.0044422,0.0,0.00034193476,13.221002,9.9895821,300.78027,-9.3248425
1775,1775,145.3669,2.6062984,0.022709379,0.0,0,8.9751787,0.0,0.0014390593,28.773901,9.9483929,300.83792,-9.3242054
1776,1776,145.3671,4.3669977,0.055429477,0.0,0,8.9459143,0.0,0.0034001493,51.018879,9.9177094,300.89557,-9.323473
1777,1777,145.3673,5.4786444,0.081910416,0.0,0,8.9166508,0.0,0.004877578,67.066635,9.8912134,300.95319,-9.3231211
1778,1778,145.3675,6.0283017,0.10262972,0.0,0,8.8873863,0.0,0.0066933464,74.986404,9.861083,301.01083,-9.3223629
1779,1779,145.3677,6.4732265,0.1376209,0.0,0,8.8581219,0.0,0.0089353425,80.440422,9.8255615,301.06848,-9.3219576
1780,1780,145.3679,7.0650787,0.1944975,0.0,0,8.8288584,0.0,0.011987154,87.384674,9.7862291,301.1261,-9.3211899
1781,1781,145.3681,7.4649911,0.26706052,0.0,0,8.7995939,0.0,0.016995639,92.630013,9.7434559,301.18375,-9.3203602
1782,1782,145.3683,7.6501145,0.33340281,0.0,0,8.7703304,0.0,0.021935046,94.859306,9.6963987,301.24136,-9.3197479
1783,1783,145.3685,7.9067864,0.37756398,0.0,0,8.7416534,0.0,0.024808284,97.40937,9.6475267,301.29901,-9.3195724
1784,1784,145.3687,8.3719501,0.41452417,0.0,0,8.7136879,0.0,0.027457312,102.63782,9.5964375,301.35666,-9.3191252
1785,1785,145.3689,8.7414026,0.46350494,0.0,0,8.6858492,0.0,0.030952251,107.12959,9.5475054,301.41428,-9.3185053
1786,1786,145.3691,8.9396152,0.51451308,0.0,0,8.6580172,0.0,0.034084674,109.52855,9.4996624,301.47192,-9.3180056
1787,1787,145.3693,9.2819519,0.54508704,0.0,0,8.6301851,0.0,0.036528334,112.95089,9.4523716,301.52957,-9.3177872
1788,1788,145.3695,9.6441574,0.55628312,0.0,0,8.6023531,0.0,0.037936956,117.5085,9.413949,301.58719,-9.3172369
1789,1789,145.3697,9.6544418,0.57233876,0.0,0,8.574522,0.0,0.038553711,118.51215,9.378974,301.64484,-9.3159409
1790,1790,145.3699,9.414608,0.60045606,0.0,0,8.546689,0.0,0.040187769,115.61593,9.346242,301.70245,-9.316433
1791,1791,145.3701,9.4169731,0.63299108,0.0,0,8.518857,0.0,0.042894259,114.61691,9.3186417,301.7601,-9.317893
1792,1792,145.3703,9.6504068,0.66833168,0.0,0,8.4910259,0.0,0.045162011,116.88012,9.2895164,301.81775,-9.318428
1793,1793,145.3705,9.8467646,0.69091201,0.0,0,8.4631929,0.0,0.046678092,119.30449,9.2593565,301.87537,-9.3184948
1794,1794,145.3707,10.037052,0.70354307,0.0,0,8.4353609,0.0,0.048033461,121.30593,9.2304287,301.93301,-9.3181343
1795,1795,145.3709,10.293255,0.73957378,0.0,0,8.4075298,0.0,0.050010592,124.03242,9.1978664,301.99063,-9.3173685
1796,1796,145.3711,10.453019,0.79523015,0.0,0,8.3796968,0.0,0.053284135,125.87029,9.1609602,302.04828,-9.3166647
1797,1797,145.3713,10.340745,0.8474769,0.0,0,8.3518648,0.0,0.057504077,124.67066,9.1210833,302.10593,-9.3158407
1798,1798,145.3715,10.114444,0.90015411,0.0,0,8.3240337,0.0,0.061361965,121.61005,9.0785971,302.16354,-9.3156061
1799,1799,145.3717,10.103897,0.94637382,0.0,0,8.2962017,0.0,0.064223863,120.51905,9.0352783,302.22119,-9.3162632
1800,1800,145.3719,10.334159,0.97965664,0.0,0,8.2683697,0.0,0.066966549,122.51146,8.9928589,302.27884,-9.3165026
1801,1801,145.3721,10.486087,1.0222548,0.0,0,8.2405376,0.0,0.070131019,124.2597,8.9535294,302.33646,-9.3166351
1802,1802,145.3723,10.460711,1.0619305,0.0,0,8.2127056,0.0,0.072639421,123.92935,8.913763,302.3941,-9.3171759
1803,1803,145.3725,10.509729,1.0718719,0.0,0,8.1848736,0.0,0.073942758,123.96934,8.8775053,302.45172,-9.3179302
1804,1804,145.3727,10.751703,1.0816581,0.0,0,8.1570415,0.0,0.07492277,126.35678,8.8456907,302.50937,-9.3183184
1805,1805,145.3729,10.916716,1.1067809,0.0,0,8.1292095,0.0,0.076002657,128.56902,8.8153667,302.56702,-9.3173542
1806,1806,145.3731,10.828257,1.1300635,0.0,0,8.1013775,0.0,0.077764288,127.94794,8.7872581,302.62463,-9.3169355
1807,1807,145.3733,10.697309,1.1613271,0.0,0,8.0735455,0.0,0.080440737,125.99458,8.7610731,302.68228,-9.3164644
1808,1808,145.3735,10.732053,1.1937256,0.0,0,8.0462685,0.0,0.082361706,125.67101,8.7359552,302.73993,-9.3164492
1809,1809,145.3737,10.911518,1.2097362,0.0,0,8.0196619,0.0,0.083573699,127.36578,8.7090254,302.79755,-9.3164244
1810,1810,145.3739,11.040557,1.2373143,0.0,0,7.993176,0.0,0.085867077,128.81738,8.680541,302.85519,-9.3157167
1811,1811,145.3741,11.067543,1.2836238,0.0,0,7.9666953,0.0,0.088691078,128.95578,8.652194,302.91281,-9.3155394
