level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1972,1972,165.3437,1.0057675,0.012191684,0.0,0,9.0629425,0.0,0.00098395417,12.628573,10.084554,362.57523,-9.2901678
1973,1973,165.3439,1.511001,0.019496659,0.0,0,9.0336781,0.0,0.0013114747,17.292919,10.044338,362.66046,-9.2901182
1974,1974,165.3441,2.9290299,0.04168338,0.0,0,9.0044146,0.0,0.0021816557,33.177467,10.008451,362.74573,-9.2895546
1975,1975,165.3443,4.4210839,0.061844539,0.0,0,8.9751501,0.0,0.0037950014,52.506718,9.9797621,362.83096,-9.2888794
1976,1976,165.3445,5.3089318,0.088600598,0.0,0,8.9458866,0.0,0.0056985379,65.378731,9.9541521,362.9162,-9.2880573
1977,1977,165.3447,5.7988157,0.11717748,0.0,0,8.9166222,0.0,0.0072276792,72.275856,9.9222088,363.00143,-9.2868376
1978,1978,165.3449,6.1955533,0.14413022,0.0,0,8.8873577,0.0,0.0091574807,77.12748,9.8848896,363.08667,-9.2855635
1979,1979,165.3451,6.6347971,0.20189615,0.0,0,8.8580942,0.0,0.012875011,82.362358,9.8453445,363.17191,-9.2844391
1980,1980,165.3453,6.7792959,0.27897361,0.0,0,8.8288298,0.0,0.017488703,84.657021,9.8028316,363.25714,-9.2839947
1981,1981,165.3455,6.7529645,0.33250678,0.0,0,8.7995663,0.0,0.021590749,84.237701,9.7565813,363.34241,-9.2839975
1982,1982,165.3457,6.9407258,0.37495244,0.0,0,8.7703018,0.0,0.025029739,85.46698,9.7065926,363.42764,-9.2840738
1983,1983,165.3459,7.2935557,0.42175952,0.0,0,8.7416267,0.0,0.027708059,89.477882,9.6549225,363.51288,-9.2840691
1984,1984,165.3461,7.4629827,0.46529588,0.0,0,8.7136612,0.0,0.030638635,91.846741,9.606493,363.59811,-9.2840986
1985,1985,165.3463,7.5317626,0.51101309,0.0,0,8.6858225,0.0,0.034294948,92.379128,9.5601206,363.68335,-9.2841034
1986,1986,165.3465,7.8228846,0.54433584,0.0,0,8.6579905,0.0,0.036522839,95.174713,9.5139418,363.76859,-9.2840757
1987,1987,165.3467,8.0751944,0.55054474,0.0,0,8.6301584,0.0,0.037060477,98.588051,9.4730787,363.85382,-9.2834082
1988,1988,165.3469,7.9609499,0.56655842,0.0,0,8.6023264,0.0,0.038411759,98.036865,9.4393501,363.93906,-9.2827959
1989,1989,165.3471,7.6877217,0.60741675,0.0,0,8.5744953,0.0,0.040758841,94.541122,9.4066734,364.02432,-9.2829733
1990,1990,165.3473,7.71205,0.64359951,0.0,0,8.5466623,0.0,0.043118067,93.745987,9.3742037,364.10956,-9.2832355
1991,1991,165.3475,7.9884343,0.67302883,0.0,0,8.5188303,0.0,0.045712087,96.445442,9.3449717,364.19479,-9.2831774
1992,1992,165.3477,8.2013712,0.70056087,0.0,0,8.4909992,0.0,0.04763839,99.129059,9.3145542,364.26282,-9.2834988
