level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2271,2271,195.349,0.16597185,0.024383038,0.0,0,9.0922346,0.0,0.0016659051,2.1878426,10.122318,451.5834,-9.2368612
2272,2272,195.3492,0.73171073,0.032858923,0.0,0,9.0629702,0.0,0.0023078257,7.1135292,10.080564,451.65045,-9.2375641
2273,2273,195.3494,2.3637195,0.059480421,0.0,0,9.0337067,0.0,0.0034653232,25.359081,10.046723,451.71753,-9.2375975
2274,2274,195.3496,4.0468678,0.096349709,0.0,0,9.0044422,0.0,0.0058531365,47.421421,10.019415,451.78461,-9.237092
2275,2275,195.3498,4.9518552,0.12452741,0.0,0,8.9751787,0.0,0.0082457056,60.763412,9.9910955,451.85168,-9.2355833
2276,2276,195.35,5.2715421,0.14723973,0.0,0,8.9459143,0.0,0.0094887465,65.918922,9.9580145,451.91876,-9.2344265
2277,2277,195.3502,5.389008,0.18361937,0.0,0,8.9166508,0.0,0.011569147,67.494965,9.9173794,451.98581,-9.2329273
2278,2278,195.3504,5.4938354,0.25118333,0.0,0,8.8873863,0.0,0.016044693,68.599503,9.8711596,452.05289,-9.2320824
2279,2279,195.3506,5.3455672,0.34173158,0.0,0,8.8581219,0.0,0.021779224,67.180275,9.8246384,452.11996,-9.2319908
2280,2280,195.3508,5.069922,0.40917623,0.0,0,8.8288584,0.0,0.026674246,63.494564,9.7745342,452.18704,-9.2316484
2281,2281,195.351,5.151897,0.43700182,0.0,0,8.7995939,0.0,0.029484421,63.172665,9.7210979,452.25409,-9.2322378
2282,2282,195.3512,5.4813905,0.47049859,0.0,0,8.7703304,0.0,0.03141119,66.948936,9.6676035,452.32117,-9.2335501
2283,2283,195.3514,5.5246887,0.52939463,0.0,0,8.7416534,0.0,0.034810513,68.084885,9.6148663,452.38824,-9.2342653
2284,2284,195.3516,5.5133743,0.59115583,0.0,0,8.7136879,0.0,0.03958017,67.335152,9.5672321,452.45532,-9.2335567
2285,2285,195.3518,5.8732724,0.63445354,0.0,0,8.6858492,0.0,0.042896282,70.51429,9.5224094,452.5224,-9.2326937
2286,2286,195.352,6.169239,0.64160699,0.0,0,8.6580172,0.0,0.043476749,74.689934,9.4782066,452.58945,-9.2314939
2287,2287,195.3522,5.913835,0.63418633,0.0,0,8.6301851,0.0,0.043281242,73.085823,9.4380417,452.65652,-9.230279
2288,2288,195.3524,5.3823829,0.6670084,0.0,0,8.6023531,0.0,0.044957921,66.729897,9.4014874,452.74155,-9.2306442
2289,2289,195.3526,5.2686806,0.730739,0.0,0,8.574522,0.0,0.048774678,63.738071,9.3685808,452.84454,-9.2318087
2290,2290,195.3528,5.6613545,0.77463269,0.0,0,8.546689,0.0,0.052520845,67.28212,9.3377171,452.94754,-9.2326832
2291,2291,195.353,6.0136509,0.79722118,0.0,0,8.518857,0.0,0.054516323,71.898605,9.3018723,453.05054,-9.2328558
2292,2292,195.3532,6.0727715,0.81336522,0.0,0,8.4910259,0.0,0.055235863,73.16256,9.2651358,453.1535,-9.231988
2293,2293,195.3534,6.0904889,0.83787644,0.0,0,8.4631929,0.0,0.056933012,73.118225,9.2302113,453.2565,-9.2310877
2294,2294,195.3536,6.195416,0.89617276,0.0,0,8.4353609,0.0,0.060919132,73.983459,9.1935234,453.3595,-9.2310543
2295,2295,195.3538,6.1510687,0.96223813,0.0,0,8.4075298,0.0,0.065199934,73.624016,9.1520691,453.46246,-9.2312069
2296,2296,195.354,5.9094892,0.99687541,0.0,0,8.3796968,0.0,0.068219535,70.860542,9.1080942,453.56546,-9.2312489
2297,2297,195.3542,5.7540426,1.0272511,0.0,0,8.3518648,0.0,0.070771918,68.508553,9.0679893,453.66846,-9.2309885
2298,2298,195.3544,5.8353124,1.070708,0.0,0,8.3240337,0.0,0.073242098,68.744164,9.0297203,453.77145,-9.2317333
2299,2299,195.3546,5.9792228,1.1094691,0.0,0,8.2962017,0.0,0.076091856,70.223091,8.9883957,453.87442,-9.2327385
2300,2300,195.3548,6.0114422,1.1464891,0.0,0,8.2683697,0.0,0.07926441,70.727333,8.9470549,453.97742,-9.2325802
2301,2301,195.355,5.9779768,1.1738133,0.0,0,8.2405376,0.0,0.081049062,70.209358,8.9115667,454.08041,-9.2317953
2302,2302,195.3552,6.0277085,1.1847587,0.0,0,8.2127056,0.0,0.081887774,70.456253,8.8794651,454.18341,-9.2317705
