level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1873,1873,155.3444,0.78002334,0.0084406519,0.0,0,9.0337067,0.0,0.00027091574,9.7883873,10.043098,330.94385,-9.3071289
1874,1874,155.3446,1.3304853,0.0065688742,0.0,0,9.0044422,0.0,0.00053724024,14.812966,10.000762,331.04489,-9.3070736
1875,1875,155.3448,2.8870025,0.025295578,0.0,0,8.9751787,0.0,0.001486312,32.267494,9.9658289,331.14594,-9.3070183
1876,1876,155.345,4.5954895,0.05845885,0.0,0,8.9459143,0.0,0.0031700295,54.302139,9.9364424,331.24695,-9.3062782
1877,1877,155.3452,5.5549741,0.08062499,0.0,0,8.9166508,0.0,0.0051362058,68.464485,9.9078436,331.34799,-9.3056107
1878,1878,155.3454,5.9869208,0.10618258,0.0,0,8.8873863,0.0,0.0068952315,74.804924,9.8760271,331.44904,-9.3047762
1879,1879,155.3456,6.3817549,0.14786839,0.0,0,8.8581219,0.0,0.008974934,79.394257,9.8414745,331.55005,-9.3032179
1880,1880,155.3458,6.9248719,0.20062022,0.0,0,8.8288584,0.0,0.012604546,85.745674,9.8056545,331.65109,-9.3024483
1881,1881,155.346,7.232254,0.27199197,0.0,0,8.7995939,0.0,0.017527811,89.94416,9.7653904,331.75214,-9.3023443
1882,1882,155.3462,7.3667412,0.33487865,0.0,0,8.7703304,0.0,0.021530801,91.531616,9.7203999,331.85318,-9.3024158
1883,1883,155.3464,7.6681657,0.36512429,0.0,0,8.7416534,0.0,0.024138324,94.326241,9.670927,331.95419,-9.302701
1884,1884,155.3466,8.0996447,0.40354282,0.0,0,8.7136879,0.0,0.026974348,99.386765,9.621335,332.05524,-9.3031721
1885,1885,155.3468,8.3517656,0.45969856,0.0,0,8.6858492,0.0,0.030168159,102.67503,9.5755301,332.15628,-9.3029509
1886,1886,155.347,8.4763403,0.49981308,0.0,0,8.6580172,0.0,0.033221502,103.96754,9.5283575,332.25729,-9.3016596
1887,1887,155.3472,8.7704687,0.52604181,0.0,0,8.6301851,0.0,0.035716444,106.84486,9.4824982,332.35834,-9.3008604
1888,1888,155.3474,9.019805,0.54606152,0.0,0,8.6023531,0.0,0.036769722,110.24181,9.4427843,332.45938,-9.3001213
1889,1889,155.3476,8.9234905,0.56079763,0.0,0,8.574522,0.0,0.037574045,109.9332,9.4112062,332.56039,-9.2986326
1890,1890,155.3478,8.7143393,0.5938825,0.0,0,8.546689,0.0,0.04008507,106.98514,9.377574,332.66144,-9.2983894
1891,1891,155.348,8.8246059,0.6391629,0.0,0,8.518857,0.0,0.042979002,107.1709,9.3431339,332.76248,-9.2990723
1892,1892,155.3482,9.1111498,0.66635519,0.0,0,8.4910259,0.0,0.044893779,110.2862,9.3154955,332.86353,-9.2994452
1893,1893,155.3484,9.2854347,0.68715984,0.0,0,8.4631929,0.0,0.046822734,112.54171,9.2856503,332.96454,-9.2998362
1894,1894,155.3486,9.3999557,0.71614653,0.0,0,8.4353609,0.0,0.04858141,113.66018,9.2535515,333.06558,-9.3007307
1895,1895,155.3488,9.5658875,0.74996251,0.0,0,8.4075298,0.0,0.050428618,115.3391,9.2196636,333.16663,-9.3011589
1896,1896,155.349,9.6632595,0.79929137,0.0,0,8.3796968,0.0,0.05413327,116.42052,9.1833754,333.26764,-9.3003092
1897,1897,155.3492,9.514636,0.85662758,0.0,0,8.3518648,0.0,0.058249995,114.80713,9.1437864,333.36868,-9.2998466
1898,1898,155.3494,9.3188791,0.8993398,0.0,0,8.3240337,0.0,0.061053094,111.95193,9.1008692,333.46973,-9.2984791
1899,1899,155.3496,9.3902884,0.93359119,0.0,0,8.2962017,0.0,0.063864239,111.68375,9.0598831,333.57074,-9.2975225
1900,1900,155.3498,9.6427393,0.97319984,0.0,0,8.2683697,0.0,0.066777848,114.19767,9.0206957,333.67178,-9.2978764
1901,1901,155.35,9.732729,1.0124574,0.0,0,8.2405376,0.0,0.069152512,115.52273,8.9826488,333.77283,-9.2977257
1902,1902,155.3502,9.6695881,1.0419459,0.0,0,8.2127056,0.0,0.071600556,114.7309,8.9466143,333.87387,-9.297554
1903,1903,155.3504,9.747077,1.060209,0.0,0,8.1848736,0.0,0.073364787,114.96117,8.9104795,333.97488,-9.2981911
1904,1904,155.3506,9.9782352,1.0754548,0.0,0,8.1570415,0.0,0.07398165,117.41202,8.8772669,334.07593,-9.299118
1905,1905,155.3508,10.043615,1.0987325,0.0,0,8.1292095,0.0,0.07554584,118.60396,8.8459482,334.17697,-9.2998028
1906,1906,155.351,9.8612118,1.1308146,0.0,0,8.1013775,0.0,0.078197502,116.66319,8.8155851,334.27798,-9.3005352
1907,1907,155.3512,9.7464075,1.1655114,0.0,0,8.0735455,0.0,0.080377042,114.71532,8.7900324,334.37903,-9.3000746
1908,1908,155.3514,9.8852806,1.1920052,0.0,0,8.0462685,0.0,0.082317531,115.53136,8.7645912,334.48007,-9.2993612
1909,1909,155.3516,10.108418,1.213627,0.0,0,8.0196619,0.0,0.084362604,117.8837,8.734704,334.58109,-9.2990227
1910,1910,155.3518,10.196373,1.2486793,0.0,0,7.993176,0.0,0.086365364,119.02969,8.7041283,334.68213,-9.2985744
1911,1911,155.352,10.196647,1.2903594,0.0,0,7.9666953,0.0,0.089074805,118.77898,8.6707582,334.78317,-9.2980633
1912,1912,155.3522,10.240388,1.3268926,0.0,0,7.9402156,0.0,0.092352778,118.74534,8.6376324,334.88422,-9.2977648
1913,1913,155.3524,10.269426,1.3674419,0.0,0,7.9137359,0.0,0.095089771,118.90353,8.6049738,334.98523,-9.297904
1914,1914,155.3526,10.194832,1.4030759,0.0,0,7.8872557,0.0,0.097426333,118.01726,8.5703135,335.08627,-9.2985516
1915,1915,155.3528,10.114515,1.4302582,0.0,0,7.8607755,0.0,0.099989399,116.68261,8.5352907,335.20221,-9.299015
1916,1916,155.353,10.153742,1.4698485,0.0,0,7.8342957,0.0,0.10272802,116.51959,8.5016708,335.33301,-9.299099
1917,1917,155.3532,10.248122,1.5070355,0.0,0,7.8078156,0.0,0.10504171,117.27987,8.4678516,335.46381,-9.2994127
1918,1918,155.3534,10.281072,1.5218863,0.0,0,7.7813354,0.0,0.10681913,117.61611,8.436018,335.5946,-9.2994347
