level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1773,1773,145.3439,0.48595235,0.046863034,0.0,0,9.0336914,0.0,0.0029801505,5.9371953,10.035624,302.31415,-9.3252954
1774,1774,145.3441,0.94900227,0.052833445,0.0,0,9.0044279,0.0,0.003254768,10.07415,9.9899282,302.44638,-9.3253136
1775,1775,145.3443,2.5057325,0.069299914,0.0,0,8.9751635,0.0,0.0046001635,27.08316,9.9516277,302.57858,-9.3259897
1776,1776,145.3445,4.4151216,0.10353631,0.0,0,8.9459,0.0,0.0063896924,51.231792,9.9191151,302.71082,-9.3260231
1777,1777,145.3447,5.6528659,0.13554043,0.0,0,8.9166355,0.0,0.0085107693,68.849358,9.8903818,302.84302,-9.3243046
1778,1778,145.3449,6.2292171,0.1518916,0.0,0,8.8873711,0.0,0.010216158,77.283119,9.8596935,302.97525,-9.3227224
1779,1779,145.3451,6.616365,0.17955042,0.0,0,8.8581076,0.0,0.011563532,82.214897,9.8258114,303.10748,-9.3209686
1780,1780,145.3453,7.1612625,0.23396334,0.0,0,8.8288431,0.0,0.014597235,88.478722,9.7861948,303.23969,-9.3194532
1781,1781,145.3455,7.5038505,0.30156913,0.0,0,8.7995796,0.0,0.019515907,93.020203,9.7432623,303.37192,-9.3193054
1782,1782,145.3457,7.5911856,0.36879843,0.0,0,8.7703152,0.0,0.024135502,94.177574,9.6949463,303.50412,-9.3195801
1783,1783,145.3459,7.8089981,0.4131965,0.0,0,8.7416391,0.0,0.027187278,95.918709,9.6416073,303.63635,-9.3199987
1784,1784,145.3461,8.2896194,0.44110662,0.0,0,8.7136736,0.0,0.029536881,101.20125,9.5874424,303.76859,-9.3203897
1785,1785,145.3463,8.659667,0.48920563,0.0,0,8.6858358,0.0,0.032477558,105.90292,9.5374994,303.90079,-9.3199062
1786,1786,145.3465,8.833436,0.54425317,0.0,0,8.6580038,0.0,0.035888385,108.06736,9.4953728,304.03302,-9.3195601
1787,1787,145.3467,9.1537657,0.57159173,0.0,0,8.6301718,0.0,0.038582537,111.23672,9.4529486,304.16522,-9.319438
1788,1788,145.3469,9.4807901,0.58609968,0.0,0,8.6023397,0.0,0.039895389,115.38138,9.4110508,304.29745,-9.3184366
1789,1789,145.3471,9.4395494,0.60397226,0.0,0,8.5745077,0.0,0.040564995,115.91578,9.3775616,304.42969,-9.3171587
1790,1790,145.3473,9.1478615,0.62546152,0.0,0,8.5466757,0.0,0.042112302,112.34662,9.347909,304.56189,-9.3169823
1791,1791,145.3475,9.1060486,0.6652503,0.0,0,8.5188437,0.0,0.045004513,110.5875,9.317009,304.69412,-9.3173285
1792,1792,145.3477,9.3774729,0.70470673,0.0,0,8.4910116,0.0,0.0474452,113.13237,9.2863646,304.82632,-9.3180313
1793,1793,145.3479,9.6239338,0.71893162,0.0,0,8.4631796,0.0,0.048828773,116.25664,9.2569551,304.95856,-9.3188019
1794,1794,145.3481,9.7720718,0.73870283,0.0,0,8.4353476,0.0,0.050457243,117.92701,9.2277689,305.09079,-9.3181734
1795,1795,145.3483,9.9864082,0.77840769,0.0,0,8.4075155,0.0,0.05251142,120.11056,9.1940069,305.22299,-9.3175726
1796,1796,145.3485,10.179022,0.82231581,0.0,0,8.3796835,0.0,0.055458914,122.33071,9.1561394,305.35522,-9.3170414
1797,1797,145.3487,10.098038,0.87873399,0.0,0,8.3518515,0.0,0.059781276,121.54702,9.1155424,305.48743,-9.3165159
1798,1798,145.3489,9.8426743,0.93440342,0.0,0,8.3240194,0.0,0.063494414,118.22636,9.0736876,305.61966,-9.3162422
1799,1799,145.3491,9.7758846,0.96905285,0.0,0,8.2961874,0.0,0.066025637,116.45129,9.0335789,305.75189,-9.316349
1800,1800,145.3493,9.9760637,1.0074372,0.0,0,8.2683554,0.0,0.06915947,117.87096,8.9923487,305.88409,-9.3170824
