level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress
1972,1972,165.3437,0.48988101,0.038960356,0.0,0,9.0629654,0.0,0.0026651777,5.955437402151924,10.05454,360.74109,-9.287818,5.955437402151924
1973,1973,165.3439,2.0841534,0.063655585,0.0,0,9.0337019,0.0,0.0038941121,25.292354804146427,10.016984,360.83261,-9.2874231,25.292354804146427
1974,1974,165.3441,4.1785111,0.10166378,0.0,0,9.0044374,0.0,0.0060520191,50.57121671432526,9.9893322,360.92413,-9.2873917,50.57121671432526
1975,1975,165.3443,5.6224117,0.12477165,0.0,0,8.975174,0.0,0.0081809703,67.93394824791001,9.9656525,361.01566,-9.2863445,67.93394824791001
1976,1976,165.3445,6.2359042,0.143987,0.0,0,8.9459095,0.0,0.0094992639,75.24297843807358,9.9335051,361.10718,-9.2851009,75.24297843807358
1977,1977,165.3447,6.4525852,0.17734182,0.0,0,8.916646,0.0,0.011086455,77.67134652819162,9.8935404,361.1987,-9.2838039,77.67134652819162
1978,1978,165.3449,6.7424273,0.23419167,0.0,0,8.8873816,0.0,0.0147804,80.82874484751883,9.8504953,361.29022,-9.2831631,80.82874484751883
1979,1979,165.3451,6.9609985,0.31947514,0.0,0,8.8581171,0.0,0.020493684,82.93551259154216,9.808465,361.38174,-9.2829857,82.93551259154216
1980,1980,165.3453,6.9424734,0.39043668,0.0,0,8.8288536,0.0,0.025315521,82.28863386878265,9.7645473,361.47327,-9.2825356,82.28863386878265
1981,1981,165.3455,7.0816555,0.41349995,0.0,0,8.7995892,0.0,0.027686557,83.79705383355677,9.7138071,361.56476,-9.2829361,83.79705383355677
1982,1982,165.3457,7.5262156,0.43537864,0.0,0,8.7703257,0.0,0.029317416,88.91506489430515,9.6610699,361.65628,-9.2829514,88.91506489430515
1983,1983,165.3459,7.8066635,0.48720321,0.0,0,8.7416487,0.0,0.032005094,91.87825258358498,9.613306,361.7478,-9.2826853,91.87825258358498
1984,1984,165.3461,7.9085369,0.54334193,0.0,0,8.7136831,0.0,0.035983499,92.6930650950142,9.5701656,361.79779,-9.2820959,92.6930650950142
