level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress
1872,1872,155.3437,0.20522638,0.017086202,0.0,0,9.0629654,0.0,0.0013593487,2.4987992144072364,10.074247,330.84628,-9.3046198,2.4987992144072364
1873,1873,155.3439,1.0749055,0.030446131,0.0,0,9.0337019,0.0,0.0017018782,13.075438193301297,10.032807,330.9194,-9.3047009,13.075438193301297
1874,1874,155.3441,2.8604155,0.062240697,0.0,0,9.0044374,0.0,0.0036085686,34.71622437635408,9.9985628,330.99252,-9.3046293,34.71622437635408
1875,1875,155.3443,4.6432962,0.09966214,0.0,0,8.975174,0.0,0.0064485879,56.204402636711855,9.9730473,331.06564,-9.30406,56.204402636711855
1876,1876,155.3445,5.7684398,0.12895332,0.0,0,8.9459095,0.0,0.0082608964,69.67750372088233,9.947607,331.13876,-9.3026409,69.67750372088233
1877,1877,155.3447,6.2695336,0.14926498,0.0,0,8.916646,0.0,0.0095323352,75.62013809158434,9.9126463,331.21188,-9.3012447,75.62013809158434
1878,1878,155.3449,6.5943432,0.18412398,0.0,0,8.8873816,0.0,0.011909558,79.33904430079298,9.870162,331.285,-9.2998056,79.33904430079298
1879,1879,155.3451,6.9128542,0.25927514,0.0,0,8.8581171,0.0,0.016289582,82.72186294751015,9.8258677,331.35812,-9.2986813,82.72186294751015
1880,1880,155.3453,7.0864091,0.34196398,0.0,0,8.8288536,0.0,0.021803239,84.29184034625382,9.7807989,331.43124,-9.2985163,84.29184034625382
1881,1881,155.3455,7.1899571,0.38703904,0.0,0,8.7995892,0.0,0.025849741,85.24317350337171,9.7328234,331.50436,-9.2992392,85.24317350337171
1882,1882,155.3457,7.5552607,0.40819198,0.0,0,8.7703257,0.0,0.027408548,89.43590656246283,9.681695,331.57748,-9.2999554,89.43590656246283
1883,1883,155.3459,7.9808478,0.43545985,0.0,0,8.7416487,0.0,0.028760489,94.28555034691792,9.6311827,331.6506,-9.2996368,94.28555034691792
1884,1884,155.3461,8.1473179,0.48449156,0.0,0,8.7136831,0.0,0.032193612,95.90660049643198,9.5841265,331.72372,-9.2994576,95.90660049643198
1885,1885,155.3463,8.3462687,0.54763448,0.0,0,8.6858444,0.0,0.036512543,97.79255803882637,9.5417233,331.79684,-9.2996473,97.79255803882637
1886,1886,155.3465,8.763978,0.5800845,0.0,0,8.6580124,0.0,0.038937692,102.44073099310292,9.5012512,331.86996,-9.298934,102.44073099310292
1887,1887,155.3467,8.9572544,0.56998062,0.0,0,8.6301804,0.0,0.038997069,104.7782244751735,9.4595957,331.94308,-9.2983141,104.7782244751735
1888,1888,155.3469,8.6785297,0.57524639,0.0,0,8.6023483,0.0,0.038997173,101.47827368710784,9.4223499,332.0162,-9.2978048,101.47827368710784
1889,1889,155.3471,8.3486872,0.62082654,0.0,0,8.5745173,0.0,0.04115352,97.292109573083,9.39188,332.08932,-9.2972374,97.292109573083
1890,1890,155.3473,8.4535379,0.67376447,0.0,0,8.5466843,0.0,0.045182262,98.1266960932357,9.361908,332.16245,-9.2984352,98.1266960932357
1891,1891,155.3475,8.8796463,0.71748489,0.0,0,8.5188522,0.0,0.048713878,102.73685031857794,9.3304987,332.23557,-9.2993174,102.73685031857794
1892,1892,155.3477,9.1361418,0.73943013,0.0,0,8.4910212,0.0,0.050093938,105.53094327922307,9.298028,332.30865,-9.2981901,105.53094327922307
1893,1893,155.3479,9.1467056,0.74690092,0.0,0,8.4631882,0.0,0.050836183,105.59381693747315,9.2640343,332.36108,-9.2972784,105.59381693747315
1894,1894,155.3481,9.2260771,0.78540272,0.0,0,8.4353561,0.0,0.053368054,106.20263350135778,9.2287216,332.41351,-9.2971048,106.20263350135778
1895,1895,155.3483,9.3892326,0.84918791,0.0,0,8.4075251,0.0,0.057181187,107.56228244948205,9.1916285,332.46591,-9.2968531,107.56228244948205
1896,1896,155.3485,9.3226376,0.89648885,0.0,0,8.3796921,0.0,0.060828574,106.41759773781908,9.1513319,332.51834,-9.2965765,106.41759773781908
1897,1897,155.3487,9.0610332,0.93434906,0.0,0,8.35186,0.0,0.064023599,103.13436676932837,9.1114025,332.57077,-9.2973604,103.13436676932837
1898,1898,155.3489,9.0100079,0.97089326,0.0,0,8.324029,0.0,0.066282593,102.26848310912968,9.0744448,332.62317,-9.2978182,102.26848310912968
1899,1899,155.3491,9.2824078,0.9996618,0.0,0,8.2961969,0.0,0.068328343,105.12913027341254,9.0333776,332.6756,-9.297328,105.12913027341254
1900,1900,155.3493,9.5023232,1.0357691,0.0,0,8.2683649,0.0,0.071258731,107.32269068606409,8.9950361,332.728,-9.2977962,107.32269068606409
1901,1901,155.3495,9.4676828,1.0715742,0.0,0,8.2405329,0.0,0.07360594,106.63787197531212,8.9609585,332.78043,-9.2983656,106.63787197531212
1902,1902,155.3497,9.4003916,1.0881308,0.0,0,8.2127008,0.0,0.074880444,105.74515330555904,8.926259,332.83286,-9.2986622,105.74515330555904
1903,1903,155.3499,9.5318165,1.1061682,0.0,0,8.1848688,0.0,0.076583222,107.07464681147803,8.8953218,332.88525,-9.2992392,107.07464681147803
1904,1904,155.3501,9.731329,1.1365325,0.0,0,8.1570368,0.0,0.078390338,109.05992013875063,8.8641624,332.93768,-9.2990904,109.05992013875063
1905,1905,155.3503,9.6876993,1.1668932,0.0,0,8.1292048,0.0,0.080300532,108.31619322252224,8.8342619,332.99011,-9.2982054,108.31619322252224
1906,1906,155.3505,9.4647799,1.2013227,0.0,0,8.1013727,0.0,0.083172821,105.54150179628245,8.8079338,333.04251,-9.2975721,105.54150179628245
1907,1907,155.3507,9.4552689,1.2360543,0.0,0,8.0735407,0.0,0.085657887,105.15096218427281,8.7792139,333.09494,-9.2970991,105.15096218427281
1908,1908,155.3509,9.7509375,1.2590724,0.0,0,8.0462637,0.0,0.087093696,108.2446146739663,8.7481556,333.14737,-9.2970467,108.2446146739663
1909,1909,155.3511,10.008012,1.2854296,0.0,0,8.0196581,0.0,0.089263052,110.8698535602619,8.7182598,333.19977,-9.2976208,110.8698535602619
1910,1910,155.3513,9.9868231,1.3272533,0.0,0,7.9931717,0.0,0.092189714,110.2732332051624,8.6854668,333.2522,-9.2969856,110.2732332051624
1911,1911,155.3515,9.8220215,1.3715775,0.0,0,7.966691,0.0,0.095036946,108.07629167770573,8.651063,333.30463,-9.2958431,108.07629167770573
1912,1912,155.3517,9.7631998,1.4101264,0.0,0,7.9402113,0.0,0.098267347,107.10291764685078,8.6181011,333.35703,-9.2958431,107.10291764685078
1913,1913,155.3519,9.8194151,1.440752,0.0,0,7.9137316,0.0,0.10081551,107.45899646451082,8.5866909,333.40945,-9.2963743,107.45899646451082
1914,1914,155.3521,9.8253422,1.4661344,0.0,0,7.8872514,0.0,0.10227906,107.30772874492658,8.5533848,333.46185,-9.2975588,107.30772874492658
1915,1915,155.3523,9.7834654,1.4952652,0.0,0,7.8607712,0.0,0.10451734,106.6033666498054,8.518652,333.51428,-9.2984343,106.6033666498054
1916,1916,155.3525,9.8446016,1.5263799,0.0,0,7.8342915,0.0,0.10714985,107.00403545560651,8.4876385,333.56671,-9.2978373,107.00403545560651
1917,1917,155.3527,10.013646,1.5505328,0.0,0,7.8078113,0.0,0.10867285,108.63179612879189,8.4584112,333.61911,-9.2971478,108.63179612879189
1918,1918,155.3529,10.136589,1.5646787,0.0,0,7.7813311,0.0,0.10987338,109.84123671358526,8.430686,333.67154,-9.2970829,109.84123671358526
1919,1919,155.3531,10.113633,1.5787057,0.0,0,7.7548509,0.0,0.11125218,109.46951224954425,8.4037037,333.72397,-9.2969694,109.46951224954425
1920,1920,155.3533,10.02853,1.6087232,0.0,0,7.7283711,0.0,0.11286505,108.28741040456268,8.3747797,333.77637,-9.2975559,108.28741040456268
1921,1921,155.3535,10.002051,1.6459951,0.0,0,7.7018909,0.0,0.11550701,107.67831221354363,8.349124,333.8288,-9.2984228,107.67831221354363
