level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress
1774,1774,145.3503,0.52556747,0.050097056,0.0,0,9.0044422,0.0,0.0032141537,6.384213538472041,10.00265,303.39368,-9.3250828,6.384213538472041
1775,1775,145.3505,1.6479946,0.072328135,0.0,0,8.9751787,0.0,0.0042250683,19.9869682912034,9.9712782,303.45978,-9.3242054,19.9869682912034
1776,1776,145.3507,3.2693472,0.098543696,0.0,0,8.9459143,0.0,0.0063455738,39.576710168858206,9.9455481,303.52588,-9.323905,39.576710168858206
1777,1777,145.3509,4.7011647,0.12949336,0.0,0,8.9166508,0.0,0.0083984258,56.78359625436036,9.9236908,303.59198,-9.3231831,56.78359625436036
1778,1778,145.3511,5.6602211,0.15143561,0.0,0,8.8873863,0.0,0.0096986722,68.26027510628477,9.8943682,303.65805,-9.3226986,68.26027510628477
1779,1779,145.3513,6.1930742,0.1684386,0.0,0,8.8581219,0.0,0.011092574,74.59523307281225,9.8576355,303.72415,-9.3218269,74.59523307281225
1780,1780,145.3515,6.6184416,0.21798514,0.0,0,8.8288584,0.0,0.013947632,79.43516292907294,9.8221865,303.79025,-9.3203363,79.43516292907294
1781,1781,145.3517,6.9908075,0.29130021,0.0,0,8.7995939,0.0,0.018343462,83.46103792843076,9.7870302,303.85635,-9.3197489,83.46103792843076
1782,1782,145.3519,7.2970009,0.34239709,0.0,0,8.7703304,0.0,0.022501944,86.79406636338932,9.7477865,303.92242,-9.3193521,86.79406636338932
1783,1783,145.3521,7.6919594,0.37193671,0.0,0,8.7416534,0.0,0.024935033,91.29533938636409,9.703846,303.98853,-9.3187199,91.29533938636409
1784,1784,145.3523,8.1640196,0.39457124,0.0,0,8.7136879,0.0,0.026089035,96.73833131578013,9.6597433,304.05463,-9.3184633,96.73833131578013
1785,1785,145.3525,8.4962883,0.42161325,0.0,0,8.6858492,0.0,0.027959589,100.47673250095268,9.6186361,304.12073,-9.3183002,100.47673250095268
1786,1786,145.3527,8.7618446,0.4727008,0.0,0,8.6580172,0.0,0.031506926,103.22991977430313,9.5792437,304.18683,-9.3177567,103.22991977430313
1787,1787,145.3529,9.1938744,0.51691478,0.0,0,8.6301851,0.0,0.034434576,107.96827221012941,9.541564,304.2529,-9.3168392,107.96827221012941
1788,1788,145.3531,9.5440435,0.51927799,0.0,0,8.6023531,0.0,0.035187084,112.06096753999459,9.5044212,304.319,-9.3158894,112.06096753999459
1789,1789,145.3533,9.5329552,0.52010524,0.0,0,8.574522,0.0,0.035461325,111.92395109476243,9.4705238,304.3851,-9.3152819,111.92395109476243
1790,1790,145.3535,9.31991,0.54990578,0.0,0,8.546689,0.0,0.036716912,109.18231751465773,9.4376392,304.4512,-9.3148851,109.18231751465773
1791,1791,145.3537,9.2938356,0.59301555,0.0,0,8.518857,0.0,0.03952843,108.53015263564848,9.406889,304.51727,-9.315608,108.53015263564848
1792,1792,145.3539,9.5885201,0.63841605,0.0,0,8.4910259,0.0,0.043158013,111.5946434857586,9.3792095,304.58337,-9.3174839,111.5946434857586
1793,1793,145.3541,9.9286718,0.66736537,0.0,0,8.4631929,0.0,0.045121055,115.3046943380616,9.3469572,304.64948,-9.318553,115.3046943380616
1794,1794,145.3543,10.105489,0.67700082,0.0,0,8.4353609,0.0,0.045813207,117.27385341062421,9.3145647,304.71558,-9.3178244,117.27385341062421
1795,1795,145.3545,10.259974,0.70405984,0.0,0,8.4075298,0.0,0.047828346,118.82635946393123,9.2825155,304.78165,-9.3162365,118.82635946393123
1796,1796,145.3547,10.470045,0.75648421,0.0,0,8.3796968,0.0,0.051014557,120.78420974878286,9.2465124,304.84775,-9.315444,120.78420974878286
1797,1797,145.3549,10.530684,0.80438262,0.0,0,8.3518648,0.0,0.054265767,121.04712155724361,9.207655,304.91385,-9.315237,121.04712155724361
1798,1798,145.3551,10.37673,0.84499371,0.0,0,8.3240337,0.0,0.057651304,118.91265054532566,9.1693258,304.97995,-9.3146648,118.91265054532566
1799,1799,145.3553,10.269667,0.8830682,0.0,0,8.2962017,0.0,0.060274582,117.34723532390719,9.1330128,305.04602,-9.3146582,117.34723532390719
1800,1800,145.3555,10.426847,0.91442597,0.0,0,8.2683697,0.0,0.062175624,118.86017973663571,9.0965719,305.11212,-9.3149319,118.86017973663571
1801,1801,145.3557,10.684331,0.94807428,0.0,0,8.2405376,0.0,0.064939976,121.48406951049922,9.0595474,305.17822,-9.3151875,121.48406951049922
1802,1802,145.3559,10.789588,0.98296064,0.0,0,8.2127056,0.0,0.067542821,122.35493920334224,9.0212917,305.24432,-9.316,122.35493920334224
1803,1803,145.3561,10.792518,1.0063183,0.0,0,8.1848736,0.0,0.068906166,122.169871177221,8.9875317,305.31039,-9.3157673,122.169871177221
1804,1804,145.3563,10.917842,1.0244187,0.0,0,8.1570415,0.0,0.070509739,123.41739036372616,8.9568806,305.3765,-9.3152189,123.41739036372616
1805,1805,145.3565,11.146482,1.048681,0.0,0,8.1292095,0.0,0.072351977,125.76777863825396,8.9238033,305.4426,-9.3152018,125.76777863825396
1806,1806,145.3567,11.199667,1.0791249,0.0,0,8.1013775,0.0,0.073998205,126.07258578924984,8.8947611,305.5087,-9.3151712,126.07258578924984
1807,1807,145.3569,11.018468,1.1135898,0.0,0,8.0735455,0.0,0.076597527,123.70396202042595,8.8668547,305.57477,-9.3144197,123.70396202042595
1808,1808,145.3571,10.905468,1.1466415,0.0,0,8.0462685,0.0,0.079350345,122.1231177623688,8.8365173,305.64087,-9.3144131,122.1231177623688
1809,1809,145.3573,11.080919,1.1758175,0.0,0,8.0196619,0.0,0.081093103,123.8078402779645,8.8064127,305.70697,-9.3146229,123.8078402779645
1810,1810,145.3575,11.344,1.2027155,0.0,0,7.993176,0.0,0.083086818,126.48294700582711,8.7747612,305.77307,-9.3146391,126.48294700582711
1811,1811,145.3577,11.429654,1.2349483,0.0,0,7.9666953,0.0,0.085718319,127.11882379278825,8.7409191,305.83917,-9.3148375,127.11882379278825
1812,1812,145.3579,11.372816,1.27902,0.0,0,7.9402156,0.0,0.088422425,126.05245630988048,8.708889,305.90524,-9.3146935,126.05245630988048
1813,1813,145.3581,11.365428,1.3216728,0.0,0,7.9137359,0.0,0.091476999,125.55056717693626,8.6763983,305.97134,-9.3149958,125.55056717693626
1814,1814,145.3583,11.432663,1.3533994,0.0,0,7.8872557,0.0,0.094343849,125.9790113980858,8.6401005,306.03745,-9.3145666,125.9790113980858
1815,1815,145.3585,11.448237,1.386282,0.0,0,7.8607755,0.0,0.096459992,125.82442992058391,8.6050682,306.10355,-9.3142691,125.82442992058391
