level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress
1873,1873,155.3444,0.78002334,0.0084406519,0.0,0,9.0337067,0.0,0.00027091574,9.503253454249052,10.043098,330.94385,-9.3071289,9.503253454249052
1874,1874,155.3446,1.3304853,0.0065688742,0.0,0,9.0044422,0.0,0.00053724024,16.211846343670036,10.000762,331.04489,-9.3070736,16.211846343670036
1875,1875,155.3448,2.8870025,0.025295578,0.0,0,8.9751787,0.0,0.001486312,35.13112765581638,9.9658289,331.14594,-9.3070183,35.13112765581638
1876,1876,155.345,4.5954895,0.05845885,0.0,0,8.9459143,0.0,0.0031700295,55.78945747057495,9.9364424,331.24695,-9.3062782,55.78945747057495
1877,1877,155.3452,5.5549741,0.08062499,0.0,0,8.9166508,0.0,0.0051362058,67.33117644698267,9.9078436,331.34799,-9.3056107,67.33117644698267
1878,1878,155.3454,5.9869208,0.10618258,0.0,0,8.8873863,0.0,0.0068952315,72.43444157910945,9.8760271,331.44904,-9.3047762,72.43444157910945
1879,1879,155.3456,6.3817549,0.14786839,0.0,0,8.8581219,0.0,0.008974934,76.98140560735686,9.8414745,331.55005,-9.3032179,76.98140560735686
1880,1880,155.3458,6.9248719,0.20062022,0.0,0,8.8288584,0.0,0.012604546,83.21696697765087,9.8056545,331.65109,-9.3024483,83.21696697765087
1881,1881,155.346,7.232254,0.27199197,0.0,0,8.7995939,0.0,0.017527811,86.46437471320851,9.7653904,331.75214,-9.3023443,86.46437471320851
1882,1882,155.3462,7.3667412,0.33487865,0.0,0,8.7703304,0.0,0.021530801,87.6715020031598,9.7203999,331.85318,-9.3024158,87.6715020031598
1883,1883,155.3464,7.6681657,0.36512429,0.0,0,8.7416534,0.0,0.024138324,91.05812360493398,9.670927,331.95419,-9.302701,91.05812360493398
1884,1884,155.3466,8.0996447,0.40354282,0.0,0,8.7136879,0.0,0.026974348,95.91266608958392,9.621335,332.05524,-9.3031721,95.91266608958392
1885,1885,155.3468,8.3517656,0.45969856,0.0,0,8.6858492,0.0,0.030168159,98.49242226161181,9.5755301,332.15628,-9.3029509,98.49242226161181
1886,1886,155.347,8.4763403,0.49981308,0.0,0,8.6580172,0.0,0.033221502,99.66733736846169,9.5283575,332.25729,-9.3016596,99.66733736846169
1887,1887,155.3472,8.7704687,0.52604181,0.0,0,8.6301851,0.0,0.035716444,102.92674317678811,9.4824982,332.35834,-9.3008604,102.92674317678811
1888,1888,155.3474,9.019805,0.54606152,0.0,0,8.6023531,0.0,0.036769722,105.6966054480578,9.4427843,332.45938,-9.3001213,105.6966054480578
1889,1889,155.3476,8.9234905,0.56079763,0.0,0,8.574522,0.0,0.037574045,104.45417779708622,9.4112062,332.56039,-9.2986326,104.45417779708622
1890,1890,155.3478,8.7143393,0.5938825,0.0,0,8.546689,0.0,0.04008507,101.75646026904863,9.377574,332.66144,-9.2983894,101.75646026904863
1891,1891,155.348,8.8246059,0.6391629,0.0,0,8.518857,0.0,0.042979002,102.69823163790988,9.3431339,332.76248,-9.2990723,102.69823163790988
1892,1892,155.3482,9.1111498,0.66635519,0.0,0,8.4910259,0.0,0.044893779,105.81852773121373,9.3154955,332.86353,-9.2994452,105.81852773121373
1893,1893,155.3484,9.2854347,0.68715984,0.0,0,8.4631929,0.0,0.046822734,107.67550814050513,9.2856503,332.96454,-9.2998362,107.67550814050513
1894,1894,155.3486,9.3999557,0.71614653,0.0,0,8.4353609,0.0,0.04858141,108.76768059263738,9.2535515,333.06558,-9.3007307,108.76768059263738
1895,1895,155.3488,9.5658875,0.74996251,0.0,0,8.4075298,0.0,0.050428618,110.4076970164441,9.2196636,333.16663,-9.3011589,110.4076970164441
1896,1896,155.349,9.6632595,0.79929137,0.0,0,8.3796968,0.0,0.05413327,111.1189207117344,9.1833754,333.26764,-9.3003092,111.1189207117344
1897,1897,155.3492,9.514636,0.85662758,0.0,0,8.3518648,0.0,0.058249995,108.93761147075129,9.1437864,333.36868,-9.2998466,108.93761147075129
1898,1898,155.3494,9.3188791,0.8993398,0.0,0,8.3240337,0.0,0.061053094,106.35169216607952,9.1008692,333.46973,-9.2984791,106.35169216607952
1899,1899,155.3496,9.3902884,0.93359119,0.0,0,8.2962017,0.0,0.063864239,106.88817272953924,9.0598831,333.57074,-9.2975225,106.88817272953924
1900,1900,155.3498,9.6427393,0.97319984,0.0,0,8.2683697,0.0,0.066777848,109.43106872799699,9.0206957,333.67178,-9.2978764,109.43106872799699
1901,1901,155.35,9.732729,1.0124574,0.0,0,8.2405376,0.0,0.069152512,110.12145865529536,8.9826488,333.77283,-9.2977257,110.12145865529536
1902,1902,155.3502,9.6695881,1.0419459,0.0,0,8.2127056,0.0,0.071600556,109.16011693148764,8.9466143,333.87387,-9.297554,109.16011693148764
1903,1903,155.3504,9.747077,1.060209,0.0,0,8.1848736,0.0,0.073364787,109.88072689306135,8.9104795,333.97488,-9.2981911,109.88072689306135
1904,1904,155.3506,9.9782352,1.0754548,0.0,0,8.1570415,0.0,0.07398165,112.3548696426966,8.8772669,334.07593,-9.299118,112.3548696426966
1905,1905,155.3508,10.043615,1.0987325,0.0,0,8.1292095,0.0,0.07554584,112.88856262951357,8.8459482,334.17697,-9.2998028,112.88856262951357
1906,1906,155.351,9.8612118,1.1308146,0.0,0,8.1013775,0.0,0.078197502,110.56436717741637,8.8155851,334.27798,-9.3005352,110.56436717741637
1907,1907,155.3512,9.7464075,1.1655114,0.0,0,8.0735455,0.0,0.080377042,108.98426326401326,8.7900324,334.37903,-9.3000746,108.98426326401326
1908,1908,155.3514,9.8852806,1.1920052,0.0,0,8.0462685,0.0,0.082317531,110.3102800288205,8.7645912,334.48007,-9.2993612,110.3102800288205
1909,1909,155.3516,10.108418,1.213627,0.0,0,8.0196619,0.0,0.084362604,112.61094969716378,8.734704,334.58109,-9.2990227,112.61094969716378
1910,1910,155.3518,10.196373,1.2486793,0.0,0,7.993176,0.0,0.086365364,113.28117612490955,8.7041283,334.68213,-9.2985744,113.28117612490955
1911,1911,155.352,10.196647,1.2903594,0.0,0,7.9666953,0.0,0.089074805,112.91602194499426,8.6707582,334.78317,-9.2980633,112.91602194499426
1912,1912,155.3522,10.240388,1.3268926,0.0,0,7.9402156,0.0,0.092352778,113.07626503361433,8.6376324,334.88422,-9.2977648,113.07626503361433
1913,1913,155.3524,10.269426,1.3674419,0.0,0,7.9137359,0.0,0.095089771,113.03609318250194,8.6049738,334.98523,-9.297904,113.03609318250194
1914,1914,155.3526,10.194832,1.4030759,0.0,0,7.8872557,0.0,0.097426333,111.90023755808194,8.5703135,335.08627,-9.2985516,111.90023755808194
1915,1915,155.3528,10.114515,1.4302582,0.0,0,7.8607755,0.0,0.099989399,110.78041061182572,8.5352907,335.20221,-9.299015,110.78041061182572
1916,1916,155.353,10.153742,1.4698485,0.0,0,7.8342957,0.0,0.10272802,110.86167219886065,8.5016708,335.33301,-9.299099,110.86167219886065
1917,1917,155.3532,10.248122,1.5070355,0.0,0,7.8078156,0.0,0.10504171,111.56184889292466,8.4678516,335.46381,-9.2994127,111.56184889292466
1918,1918,155.3534,10.281072,1.5218863,0.0,0,7.7813354,0.0,0.10681913,111.78821076545039,8.436018,335.5946,-9.2994347,111.78821076545039
1919,1919,155.3536,10.314922,1.5396031,0.0,0,7.7548552,0.0,0.10824599,111.99787124409166,8.4066029,335.72543,-9.2991953,111.99787124409166
1920,1920,155.3538,10.422783,1.5670463,0.0,0,7.7283754,0.0,0.1095638,112.92107730357509,8.3788853,335.85623,-9.2986431,112.92107730357509
1921,1921,155.354,10.493971,1.5904995,0.0,0,7.7018952,0.0,0.11158706,113.4789902222027,8.35254,335.98703,-9.2987576,113.4789902222027
1922,1922,155.3542,10.449489,1.6234021,0.0,0,7.675415,0.0,0.11428832,112.69992831794976,8.3256397,336.11786,-9.2986803,112.69992831794976
1923,1923,155.3544,10.393657,1.6566843,0.0,0,7.6489348,0.0,0.11631645,111.79787714859296,8.3000546,336.24866,-9.2984715,111.79787714859296
1924,1924,155.3546,10.45472,1.6713763,0.0,0,7.6224551,0.0,0.11777365,112.3215257275036,8.2723417,336.37946,-9.2983818,112.3215257275036
1925,1925,155.3548,10.588933,1.6957351,0.0,0,7.5959754,0.0,0.11991721,113.53983095045493,8.2443695,336.51028,-9.2977877,113.53983095045493
1926,1926,155.355,10.651341,1.7341801,0.0,0,7.5694952,0.0,0.12210727,113.85395230174483,8.2172098,336.64108,-9.2982969,113.85395230174483
1927,1927,155.3552,10.61489,1.7623681,0.0,0,7.543015,0.0,0.12431422,113.20487371080654,8.187952,336.77188,-9.2987976,113.20487371080654
1928,1928,155.3554,10.59737,1.79419,0.0,0,7.5165353,0.0,0.12723592,112.72559992368974,8.1588659,336.90268,-9.2986813,112.72559992368974
1929,1929,155.3556,10.657887,1.8298641,0.0,0,7.4900556,0.0,0.12947495,113.03960656302826,8.1289043,337.03351,-9.2989731,113.03960656302826
1930,1930,155.3558,10.706024,1.8526021,0.0,0,7.4635754,0.0,0.13117211,113.3390384507005,8.0968761,337.16431,-9.2992783,113.3390384507005
1931,1931,155.356,10.692117,1.8818864,0.0,0,7.4370952,0.0,0.13389455,112.92025256359632,8.067646,337.2951,-9.2992077,112.92025256359632
1932,1932,155.3562,10.671124,1.9185836,0.0,0,7.410615,0.0,0.13634861,112.35888961754917,8.0394697,337.42593,-9.2989378,112.35888961754917
1933,1933,155.3564,10.693617,1.9386661,0.0,0,7.3846664,0.0,0.13774888,112.40944670418936,8.0119753,337.55673,-9.2995195,112.40944670418936
1934,1934,155.3566,10.750546,1.9538567,0.0,0,7.3593612,0.0,0.13953452,112.86621767601194,7.9849386,337.68753,-9.2998104,112.86621767601194
1935,1935,155.3568,10.80055,1.9781163,0.0,0,7.3341722,0.0,0.14118136,113.16390347047523,7.9586782,337.81836,-9.2991018,113.16390347047523
1936,1936,155.357,10.826219,2.0015326,0.0,0,7.3089881,0.0,0.14247122,113.21293390076609,7.9308977,337.94916,-9.2987423,113.21293390076609
1937,1937,155.3572,10.828578,2.0276935,0.0,0,7.2838039,0.0,0.14496492,112.99184169546145,7.9052434,338.07996,-9.2983494,112.99184169546145
1938,1938,155.3574,10.838415,2.058444,0.0,0,7.2586198,0.0,0.14744775,112.80533193584031,7.8803034,338.21075,-9.2982807,112.80533193584031
1939,1939,155.3576,10.868293,2.0804834,0.0,0,7.2334356,0.0,0.14873137,112.90847564081635,7.8539758,338.34158,-9.2986383,112.90847564081635
1940,1940,155.3578,10.904796,2.1008883,0.0,0,7.2082515,0.0,0.15065172,113.09463238231311,7.8325109,338.47238,-9.2984743,113.09463238231311
1941,1941,155.358,10.953706,2.1291347,0.0,0,7.1830673,0.0,0.15293992,113.33341149084612,7.8079996,338.60318,-9.2986383,113.33341149084612
1942,1942,155.3582,11.004064,2.1579189,0.0,0,7.1578832,0.0,0.15457343,113.57958906613646,7.7787728,338.73401,-9.2991924,113.57958906613646
1943,1943,155.3584,11.046988,2.1840384,0.0,0,7.1326995,0.0,0.1568846,113.77223645347205,7.7521563,338.86481,-9.2987089,113.77223645347205
1944,1944,155.3586,11.078548,2.2099049,0.0,0,7.1075153,0.0,0.15937556,113.84857806366536,7.7272797,338.99561,-9.2987003,113.84857806366536
1945,1945,155.3588,11.074766,2.2370169,0.0,0,7.0823312,0.0,0.16092272,113.54912008402708,7.6996598,339.12643,-9.2991457,113.54912008402708
1946,1946,155.359,11.050505,2.2636783,0.0,0,7.0571475,0.0,0.16297023,113.044659565693,7.6729693,339.25723,-9.2988768,113.044659565693
1947,1947,155.3592,11.041647,2.2903185,0.0,0,7.0319633,0.0,0.16559523,112.6987249952328,7.6489959,339.38803,-9.2984791,112.6987249952328
1948,1948,155.3594,11.067369,2.3190763,0.0,0,7.0067792,0.0,0.16744104,112.68499046404277,7.622716,339.51883,-9.2987518,112.68499046404277
1949,1949,155.3596,11.11167,2.3402343,0.0,0,6.981595,0.0,0.16906393,112.93196639705874,7.5957456,339.64966,-9.298748,112.93196639705874
1950,1950,155.3598,11.155499,2.3551874,0.0,0,6.9564114,0.0,0.17086019,113.23260837892732,7.5693717,339.78046,-9.2980194,113.23260837892732
1951,1951,155.36,11.211173,2.3809314,0.0,0,6.9312277,0.0,0.17236458,113.54715748133493,7.5452824,339.91125,-9.2976809,113.54715748133493
1952,1952,155.3602,11.254139,2.4082561,0.0,0,6.9060431,0.0,0.17422004,113.7153369539997,7.5223646,340.04208,-9.2970982,113.7153369539997
1953,1953,155.3604,11.254734,2.4276388,0.0,0,6.8808594,0.0,0.17650951,113.53194734277334,7.4978147,340.17288,-9.2969685,113.53194734277334
1954,1954,155.3606,11.236587,2.4538002,0.0,0,6.8556757,0.0,0.17835611,113.09364917125785,7.4736919,340.30368,-9.2975082,113.09364917125785
1955,1955,155.3608,11.240395,2.479013,0.0,0,6.830492,0.0,0.17985937,112.88589389551413,7.4484138,340.43451,-9.2975349,112.88589389551413
1956,1956,155.361,11.261668,2.4963083,0.0,0,6.8053074,0.0,0.18184938,112.93040364512237,7.4257121,340.56531,-9.2981367,112.93040364512237
1957,1957,155.3612,11.300659,2.5262682,0.0,0,6.7801232,0.0,0.1841795,113.02739059340132,7.4015446,340.69611,-9.2992134,113.02739059340132
1958,1958,155.3614,11.3484,2.5582352,0.0,0,6.7554417,0.0,0.18617009,113.18983737983216,7.3752627,340.8269,-9.2999811,113.18983737983216
1959,1959,155.3616,11.388411,2.57546,0.0,0,6.7313671,0.0,0.18815799,113.41854391355574,7.3526964,340.95773,-9.3001308,113.41854391355574
1960,1960,155.3618,11.432032,2.6003876,0.0,0,6.7074022,0.0,0.19024187,113.60546263382423,7.3275065,341.08853,-9.2995701,113.60546263382423
1961,1961,155.362,11.449078,2.6310103,0.0,0,6.6834416,0.0,0.19199918,113.47033072791615,7.3014207,341.21933,-9.2991095,113.47033072791615
1962,1962,155.3622,11.435173,2.6495762,0.0,0,6.6594815,0.0,0.19395305,113.14810715330843,7.2787247,341.35016,-9.298439,113.14810715330843
1963,1963,155.3624,11.438499,2.6754484,0.0,0,6.6355219,0.0,0.19631736,112.92394486605657,7.2534933,341.48096,-9.2984257,112.92394486605657
1964,1964,155.3626,11.472391,2.7040367,0.0,0,6.6115613,0.0,0.19803171,112.9736179193593,7.2286,341.61176,-9.2989178,112.9736179193593
1965,1965,155.3628,11.502731,2.7164872,0.0,0,6.5876017,0.0,0.19938622,113.14797087528132,7.2066388,341.69022,-9.2992353,113.14797087528132
1966,1966,155.363,11.519349,2.7374406,0.0,0,6.5636415,0.0,0.2014609,113.10173799309979,7.1816525,341.71637,-9.2991152,113.10173799309979
1967,1967,155.3632,11.549538,2.7689507,0.0,0,6.5396819,0.0,0.2033911,113.08195483129413,7.1564817,341.74249,-9.2990723,113.08195483129413
1968,1968,155.3634,11.595715,2.7874582,0.0,0,6.5157218,0.0,0.20501263,113.34760779238118,7.1335616,341.76862,-9.2991648,113.34760779238118
1969,1969,155.3636,11.629908,2.8086963,0.0,0,6.4917622,0.0,0.2072994,113.4672236004988,7.1099911,341.79474,-9.2988729,113.4672236004988
1970,1970,155.3638,11.643816,2.8377531,0.0,0,6.467802,0.0,0.20913488,113.30891986273402,7.0849767,341.82089,-9.2990074,113.30891986273402
1971,1971,155.364,11.663646,2.8557646,0.0,0,6.4438419,0.0,0.21051346,113.31933042405706,7.0620818,341.84702,-9.2990074,113.31933042405706
1972,1972,155.3642,11.692984,2.8790197,0.0,0,6.4198818,0.0,0.21299733,113.36805535576713,7.0411649,341.87314,-9.2984629,113.36805535576713
1973,1973,155.3644,11.71941,2.9111755,0.0,0,6.3959212,0.0,0.21532263,113.29675018276419,7.0175757,341.89929,-9.2980633,113.29675018276419
1974,1974,155.3646,11.74372,2.9311228,0.0,0,6.3719616,0.0,0.21673484,113.32816421027816,6.9928737,341.92542,-9.297946,113.32816421027816
1975,1975,155.3648,11.773714,2.9511137,0.0,0,6.3480015,0.0,0.21892655,113.4130329860737,6.9689021,341.95154,-9.298562,113.4130329860737
1976,1976,155.365,11.798692,2.9797862,0.0,0,6.3240418,0.0,0.22116338,113.35958178911555,6.9468155,341.97769,-9.2992096,113.35958178911555
