level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress
2437,2437,212.0103,0.42579189,0.090491921,0.0,0,9.0922337,0.0,0.0060958923,5.157339761240268,10.140811,500.39365,-9.2089701,5.157339761240268
2438,2438,212.0105,1.640931,0.11184091,0.0,0,9.0629702,0.0,0.0073444108,19.845235359644494,10.103209,500.45395,-9.2083368,19.845235359644494
2439,2439,212.0107,3.2889717,0.14669029,0.0,0,9.0337057,0.0,0.0091848122,39.67733831893395,10.07314,500.51422,-9.2084837,39.67733831893395
2440,2440,212.0109,4.3338475,0.18381904,0.0,0,9.0044422,0.0,0.011890721,52.14330603404753,10.046939,500.57449,-9.2077169,52.14330603404753
2441,2441,212.0111,4.7077785,0.21328419,0.0,0,8.9751778,0.0,0.014155177,56.522343737244206,10.013556,500.6348,-9.2060976,56.522343737244206
2442,2442,212.0113,4.7515926,0.24676077,0.0,0,8.9459143,0.0,0.015957301,56.910808687744485,9.971734,500.69507,-9.203784,56.910808687744485
2443,2443,212.0115,4.7625852,0.30824369,0.0,0,8.9166498,0.0,0.019780027,56.78919829079378,9.9260597,500.75534,-9.2020216,56.78919829079378
2444,2444,212.0117,4.632462,0.39446646,0.0,0,8.8873854,0.0,0.025656467,54.892086727360024,9.8761816,500.81561,-9.2019873,54.892086727360024
2445,2445,212.0119,4.3270526,0.47480282,0.0,0,8.8581219,0.0,0.031043185,50.972410640145554,9.8234386,500.87592,-9.202713,50.972410640145554
2446,2446,212.0121,4.2640038,0.52533001,0.0,0,8.8288574,0.0,0.034938399,50.04328415059975,9.7673416,500.93619,-9.2039661,50.04328415059975
2447,2447,212.0123,4.6089058,0.56114042,0.0,0,8.7995939,0.0,0.037822299,53.94831387763282,9.7069063,500.99646,-9.204917,53.94831387763282
2448,2448,212.0125,4.764317,0.61606091,0.0,0,8.7703295,0.0,0.040981539,55.54100717984034,9.6490374,501.05676,-9.2053814,55.54100717984034
2449,2449,212.0127,4.6787691,0.68525076,0.0,0,8.7416534,0.0,0.045575093,54.26354721005253,9.5956955,501.11703,-9.2057419,54.26354721005253
2450,2450,212.0129,4.8445601,0.73709947,0.0,0,8.7136869,0.0,0.050029706,55.96895255562239,9.5467072,501.17731,-9.2057428,55.96895255562239
2451,2451,212.0131,5.1296306,0.76151448,0.0,0,8.6858492,0.0,0.051964048,59.15395047549694,9.4985342,501.23761,-9.2052736,59.15395047549694
2452,2452,212.0133,5.0186124,0.76774251,0.0,0,8.6580172,0.0,0.052254975,57.84665343540645,9.4512434,501.29788,-9.2043619,57.84665343540645
2453,2453,212.0135,4.5476437,0.78389442,0.0,0,8.6301851,0.0,0.053505383,52.35448532964046,9.4090919,501.35815,-9.2030344,52.35448532964046
2454,2454,212.0137,4.318943,0.83372056,0.0,0,8.6023531,0.0,0.056482207,49.53529118218261,9.36973,501.41846,-9.2029247,49.53529118218261
2455,2455,212.0139,4.6091723,0.8852852,0.0,0,8.5745211,0.0,0.059988666,52.65825758351642,9.3308697,501.47873,-9.20399,52.65825758351642
2456,2456,212.0141,5.043262,0.90539366,0.0,0,8.546689,0.0,0.062246569,57.52978487989815,9.2931652,501.539,-9.2040358,57.52978487989815
2457,2457,212.0143,5.2257395,0.92035365,0.0,0,8.518857,0.0,0.063188367,59.543664828194366,9.2577581,501.5993,-9.2031031,59.543664828194366
2458,2458,212.0145,5.2342515,0.95413858,0.0,0,8.491025,0.0,0.064904742,59.487535093311045,9.2189684,501.65958,-9.2022839,59.487535093311045
2459,2459,212.0147,5.2753077,1.0050497,0.0,0,8.4631929,0.0,0.068649739,59.721578165560956,9.1778088,501.71985,-9.201726,59.721578165560956
2460,2460,212.0149,5.2419529,1.0717932,0.0,0,8.4353609,0.0,0.073335342,59.040981943842205,9.1378469,501.78015,-9.2024746,59.040981943842205
2461,2461,212.0151,5.0003142,1.1270803,0.0,0,8.4075289,0.0,0.077077314,56.07992952099726,9.0959883,501.84042,-9.2034283,56.07992952099726
2462,2462,212.0153,4.7837505,1.1560451,0.0,0,8.3796968,0.0,0.079759419,53.5310909487666,9.0520029,501.9007,-9.2042055,53.5310909487666
2463,2463,212.0155,4.817059,1.1938062,0.0,0,8.3518648,0.0,0.082505412,53.7462576989567,9.0085802,501.961,-9.2055254,53.7462576989567
2464,2464,212.0157,4.9861264,1.2447009,0.0,0,8.3240328,0.0,0.085585259,55.41279117455453,8.9663515,502.02127,-9.2056055,55.41279117455453
2465,2465,212.0159,5.0774345,1.2807752,0.0,0,8.2962008,0.0,0.088670887,56.26885028135696,8.9227295,502.08154,-9.2043247,56.26885028135696
2466,2466,212.0161,5.0636411,1.3099302,0.0,0,8.2683687,0.0,0.091216385,55.98808376828664,8.8808317,502.14185,-9.2035141,55.98808376828664
2467,2467,212.0163,5.0738988,1.3360677,0.0,0,8.2405367,0.0,0.092706814,55.9865960821338,8.8441954,502.20212,-9.2027454,55.9865960821338
2468,2468,212.0165,5.1271648,1.3554649,0.0,0,8.2127056,0.0,0.094259463,56.48817291044176,8.8098383,502.26239,-9.2022352,56.48817291044176
2469,2469,212.0167,5.0922098,1.392681,0.0,0,8.1848736,0.0,0.097129397,55.938843751636156,8.7773256,502.32266,-9.2022018,55.938843751636156
2470,2470,212.0169,4.9566007,1.4372058,0.0,0,8.1570406,0.0,0.099964097,54.25790706064923,8.7445269,502.38297,-9.2021313,54.25790706064923
2471,2471,212.0171,4.8795347,1.4591674,0.0,0,8.1292095,0.0,0.10188583,53.321426730311494,8.7137604,502.44324,-9.2028723,53.321426730311494
2472,2472,212.0173,4.9852657,1.4789712,0.0,0,8.1013775,0.0,0.10374139,54.391246010949864,8.6866627,502.50174,-9.2036495,54.391246010949864
2473,2473,212.0175,5.2045774,1.5076636,0.0,0,8.0735445,0.0,0.10534369,56.65459890198386,8.6583624,502.56021,-9.2044296,56.65459890198386
2474,2474,212.0177,5.3593588,1.5358565,0.0,0,8.0462675,0.0,0.1073271,58.20851571034793,8.626852,502.61871,-9.2049904,58.20851571034793
2475,2475,212.0179,5.3653584,1.5772005,0.0,0,8.0196619,0.0,0.11071683,58.08140035231661,8.5952625,502.67722,-9.2042713,58.08140035231661
