strain,min,mean,max,upperstd,lowerstd
0.6739478957915831,76.45389789131211,77.5998154370186,78.74573298272512,1.6205721344994275,1.6205721344994275
0.6758517034068136,76.43701814465742,77.61545236615225,78.79388658764711,1.666557658402592,1.666557658402592
0.677755511022044,76.31439168224328,77.5774491144181,78.8405065465929,1.786232950637754,1.786232950637754
0.6796593186372745,76.33975125839359,77.58586208111583,78.83197290383809,1.762266825713703,1.762266825713703
0.6815631262525049,76.3007697495093,77.52103474003388,78.74129973055847,1.7257152992889422,1.7257152992889422
0.6834669338677354,76.21280218776444,77.45232845820615,78.69185472864785,1.752954862576404,1.752954862576404
0.6853707414829658,76.18959535867525,77.44250334835033,78.69541133802542,1.7718794714041182,1.7718794714041182
0.6872745490981963,76.25046175669124,77.42583438777112,78.601207018851,1.6622279157153161,1.6622279157153161
0.6891783567134268,76.26964483921286,77.42731282113373,78.58498080305459,1.6371897607575803,1.6371897607575803
0.6910821643286572,76.23133624511439,77.46986829601968,78.70840034692498,1.7515488238240282,1.7515488238240282
0.6929859719438877,76.44218057065758,77.60094697329981,78.75971337594203,1.6387431622389126,1.6387431622389126
0.6948897795591181,76.5315450973582,77.63953450741079,78.74752391746338,1.5669336506621359,1.5669336506621359
0.6967935871743486,76.52018979697584,77.6537572676408,78.78732473830576,1.6031064908793478,1.6031064908793478
0.698697394789579,76.45641023022768,77.64159609701346,78.82678196379923,1.676105926741362,1.676105926741362
0.7006012024048096,76.42843611454956,77.61108263534643,78.79372915614333,1.6725147492043118,1.6725147492043118
0.7025050100200401,76.4072112206979,77.54573313722392,78.68425505374994,1.6101131354101017,1.6101131354101017
0.7044088176352705,76.32154250490498,77.5243563633821,78.72717022185921,1.7010356716686474,1.7010356716686474
0.706312625250501,76.28940106678262,77.50234368052986,78.71528629427712,1.7153598947416344,1.7153598947416344
0.7082164328657314,76.32979978069976,77.49061208412814,78.65142438755652,1.6416365028779665,1.6416365028779665
0.7101202404809619,76.33944639743751,77.48267560583125,78.62590481422498,1.6167702514114761,1.6167702514114761
0.7120240480961924,76.34016350314532,77.50624628084134,78.67232905853734,1.649090079067391,1.649090079067391
0.7139278557114228,76.45330031542694,77.56933244316869,78.68536457091044,1.5783077710964806,1.5783077710964806
0.7158316633266533,76.55358724037242,77.59801209046424,78.64243694055605,1.4770397878793313,1.4770397878793313
0.7177354709418837,76.60753605779165,77.71243923078633,78.81734240378101,1.5625690523581452,1.5625690523581452
0.7196392785571142,76.62011507221705,77.73814854941976,78.85618202662248,1.5811381066472303,1.5811381066472303
0.7215430861723446,76.5900267280396,77.7063519896652,78.82267725129078,1.5787223250106033,1.5787223250106033
0.7234468937875751,76.55157695892011,77.65544587531264,78.75931479170515,1.5611063926443955,1.5611063926443955
0.7253507014028056,76.49944560832185,77.63192529969979,78.76440499107771,1.601568138658767,1.601568138658767
0.727254509018036,76.4200207003061,77.57780549809084,78.7355902958756,1.6373549633365845,1.6373549633365845
0.7291583166332665,76.401811549656,77.4932612754927,78.58471100132941,1.5435430049266623,1.5435430049266623
0.7310621242484969,76.42953018878005,77.51825284187075,78.60697549496145,1.5396863416636841,1.5396863416636841
0.7329659318637274,76.46207355072733,77.54062606091853,78.61917857110973,1.525303587643943,1.525303587643943
0.7348697394789578,76.54857594685619,77.55985786756234,78.5711397882685,1.430168607645355,1.430168607645355
0.7367735470941883,76.64920999948488,77.61935084880943,78.58949169813398,1.371986346526933,1.371986346526933
0.7386773547094188,76.74412070024133,77.70837630027472,78.67263190030813,1.3636633471614465,1.3636633471614465
0.7405811623246492,76.70896070429782,77.71155152723956,78.7141423501813,1.4178775393150127,1.4178775393150127
0.7424849699398797,76.64988525599253,77.666477132923,78.68306900985347,1.4376780197533905,1.4376780197533905
0.7443887775551101,76.6541283507315,77.689030309408,78.72393226808448,1.4635723856867762,1.4635723856867762
0.7462925851703406,76.58308187875183,77.66575200438974,78.74842213002766,1.5311267752533266,1.5311267752533266
0.748196392785571,76.4666059362488,77.57690662340693,78.68720731056504,1.5702022900911843,1.5702022900911843
0.7501002004008015,76.47678347752668,77.553106482212,78.62942948689732,1.5221505907201411,1.5221505907201411
0.752004008016032,76.53900520761769,77.59328120961689,78.64755721161607,1.490971420511741,1.490971420511741
0.7539078156312624,76.54810517987714,77.58295950009644,78.61781382031573,1.4635050147345179,1.4635050147345179
0.7558116232464929,76.61581434174978,77.59986773862045,78.58392113549111,1.3916616599538065,1.3916616599538065
