Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,1.1455164,-0.53460038,0.0,0,11.076097,0.00076342945,-0.034994554,15.088841,11.0767,23.204771,-9.1261549
0.1,1.1408659,-0.060018968,0.0,0,11.076097,0.21955512,-0.0039542969,14.584259,11.076751,23.218706,-9.4700365
0.2,1.135283,-0.0053797513,0.0,0,11.076097,0.51604241,-0.00034437765,14.452671,11.076142,23.20735,-9.4914122
0.3,1.1306376,-0.0022637155,0.0,0,11.076097,0.81588817,-0.00017621608,14.406792,11.07688,23.211779,-9.4937429
0.4,1.125967,-0.0024900602,0.0,0,11.076097,1.115883,-0.00016746721,14.350152,11.076497,23.207668,-9.4944534
0.5,1.1266313,-0.0021594004,0.0,0,11.076097,1.4158827,-0.00015949219,14.349181,11.075362,23.191689,-9.4946632
0.6,1.1238213,-0.0023941535,0.0,0,11.076097,1.7158813,-0.00015106483,14.322291,11.075605,23.228607,-9.4946022
0.7,1.1145611,-0.0023974902,0.0,0,11.076097,2.0158837,-0.00016019886,14.186376,11.075406,23.159327,-9.4943123
0.8,1.1072128,-0.0021209053,0.0,0,11.076097,2.3158815,-0.00013193955,14.083139,11.075878,23.226015,-9.4944191
0.9,1.1028359,-0.0025828916,0.0,0,11.076097,2.6158831,-0.00014900071,14.039443,11.075684,23.266991,-9.4944019
1.0,1.1005287,-0.002025486,0.0,0,11.076097,2.9158826,-0.00013201228,14.018613,11.07665,23.16811,-9.4944019
1.1,1.0973643,-0.0022944289,0.0,0,11.076097,3.2158809,-0.00012868676,13.977462,11.076013,23.155493,-9.4942551
1.2,1.0909725,-0.0022108424,0.0,0,11.076097,3.5158834,-0.00017075523,13.890442,11.075801,23.211315,-9.4939356
1.3,1.0819745,-0.0024698589,0.0,0,11.076097,3.8158817,-0.00015591572,13.786121,11.07694,23.210871,-9.4934406
1.4,1.0765321,-0.002191745,0.0,0,11.076097,4.1158824,-0.00016647394,13.707906,11.075734,23.139389,-9.4928017
1.5,1.068278,-0.0021293538,0.0,0,11.076097,4.4158826,-0.00014891375,13.597831,11.075737,23.121748,-9.492198
1.6,1.0664662,-0.0021502483,0.0,0,11.076097,4.7158813,-0.00015652261,13.583147,11.076488,23.151999,-9.4920979
1.7,1.0589048,-0.0025749875,0.0,0,11.076097,5.0158839,-0.0001651942,13.483187,11.076572,23.13599,-9.4919796
1.8,1.0560789,-0.0027132479,0.0,0,11.076097,5.3158817,-0.0001841179,13.450499,11.075925,23.188791,-9.4913177
1.9,1.0560362,-0.0024486892,0.0,0,11.076097,5.6158829,-0.00014593039,13.446847,11.075625,23.187077,-9.4913454
2.0,1.0533003,-0.0025802855,0.0,0,11.076097,5.9158826,-0.00014874265,13.426321,11.076,23.239025,-9.4911041
2.1,1.0515224,-0.0026967863,0.0,0,11.076097,6.2158813,-0.00018211069,13.397695,11.075808,23.2673,-9.4904852
2.2,1.0581852,-0.0028210806,0.0,0,11.076097,6.5158839,-0.00015910306,13.476597,11.077367,23.165699,-9.4905882
2.3,1.053561,-0.0025642971,0.0,0,11.076097,6.8158817,-0.00019308402,13.423361,11.076853,23.192982,-9.4909286
2.4,1.0528771,-0.0023039624,0.0,0,11.076097,7.1158834,-0.00014417559,13.413248,11.076964,23.174707,-9.4906635
2.5,1.047269,-0.0025612025,0.0,0,11.076097,7.4158831,-0.00020318868,13.344832,11.075371,23.255882,-9.4905949
2.6,1.0475371,-0.0027131066,0.0,0,11.076097,7.7158813,-0.00018252525,13.342914,11.076303,23.1996,-9.490303
2.7,1.043373,-0.0025324046,0.0,0,11.076097,8.0158834,-0.00018688137,13.289797,11.07586,23.199955,-9.4904709
2.8,1.0437832,-0.0026103661,0.0,0,11.076097,8.3158827,-0.0001776159,13.294453,11.076958,23.208723,-9.4903746
2.9,1.04526,-0.0021827172,0.0,0,11.076097,8.6158838,-0.00014953641,13.308243,11.076955,23.201359,-9.4903307
3.0,1.0455537,-0.0025620693,0.0,0,11.076097,8.9158821,-0.00015859018,13.314146,11.07648,23.25289,-9.4904404
3.1,1.0444782,-0.0025207757,0.0,0,11.076097,9.2158823,-0.00015472797,13.297321,11.076082,23.231079,-9.490469
3.2,1.042799,-0.0027558408,0.0,0,11.076097,9.5158844,-0.00018265168,13.268349,11.076064,23.294977,-9.4903069
3.3,1.0389175,-0.002750668,0.0,0,11.076097,9.8158808,-0.0001534943,13.214401,11.076257,23.163116,-9.4901533
3.4,1.0370109,-0.0022907585,0.0,0,11.076097,10.115883,-0.00017019312,13.200769,11.075575,23.196445,-9.4902868
3.5,1.0301809,-0.0026041979,0.0,0,11.076097,10.415881,-0.0001569225,13.119037,11.075951,23.14769,-9.4900484
3.6,1.0319145,-0.0025223335,0.0,0,11.076097,10.715882,-0.00019211366,13.154896,11.074923,23.216898,-9.4895983
3.7,1.0256953,-0.0024868569,0.0,0,11.076097,11.015884,-0.00016804723,13.071022,11.076134,23.218697,-9.4892483
3.8,1.0221442,-0.002798496,0.0,0,11.076097,11.315882,-0.00020753595,13.021823,11.07554,23.133833,-9.4885902
3.9,1.0171076,-0.0025293774,0.0,0,11.076097,11.615883,-0.00016175004,12.964008,11.075243,23.146425,-9.488431
4.0,1.0163876,-0.0026140313,0.0,0,11.076097,11.915883,-0.00018267444,12.93662,11.076114,23.192793,-9.4877968
4.1,1.0117598,-0.002580425,0.0,0,11.076097,12.21588,-0.00015439975,12.880652,11.076497,23.213667,-9.4881802
4.2,1.0128832,-0.0028127162,0.0,0,11.076097,12.515882,-0.00016896824,12.902344,11.077165,23.203426,-9.4877844
4.3,1.012208,-0.0026256456,0.0,0,11.076097,12.815884,-0.00016700581,12.892682,11.076199,23.17561,-9.4878397
4.4,1.0147426,-0.0027199795,0.0,0,11.076097,13.115883,-0.00015283197,12.936754,11.075129,23.169203,-9.4878531
4.5,1.0183524,-0.002450994,0.0,0,11.076097,13.415882,-0.00018464525,12.980214,11.07525,23.219511,-9.4878311
4.6,1.0091389,-0.0026872503,0.0,0,11.076097,13.715879,-0.00016355945,12.859653,11.075185,23.204462,-9.4876041
4.7,1.0080611,-0.0025325941,0.0,0,11.076097,14.015884,-0.00018708203,12.844109,11.075692,23.217272,-9.487299
4.8,1.003314,-0.0026380767,0.0,0,11.076097,14.315883,-0.00017878214,12.780908,11.076156,23.181761,-9.487483
4.9,1.0041654,-0.0025503391,0.0,0,11.076097,14.615883,-0.0001884894,12.797376,11.076517,23.200733,-9.4874125
5.0,1.0000514,-0.0023030739,0.0,0,11.076097,14.915882,-0.0001517412,12.735382,11.076067,23.194065,-9.4871082
5.1,1.0009854,-0.0028106633,0.0,0,11.076097,15.215883,-0.0001932187,12.753872,11.075905,23.20178,-9.4866791
5.2,0.99858057,-0.0028986379,0.0,0,11.076097,15.515884,-0.00017810131,12.733771,11.076799,23.15959,-9.4865227
5.3,0.99677324,-0.0027718181,0.0,0,11.076097,15.815881,-0.00016630824,12.688905,11.076292,23.208101,-9.4864655
