Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
4.3,0.76809084,0.00077886099,0.0,0,11.076097,12.815883,6.1895043e-05,9.791873,11.077493,22.884367,-9.4889517
4.4,0.76860809,0.0011073477,0.0,0,11.076097,13.115883,8.1361504e-05,9.7962322,11.076808,22.799198,-9.4890318
4.5,0.77054268,0.00081127608,0.0,0,11.076097,13.415882,6.2546365e-05,9.813302,11.077006,22.772707,-9.4889231
4.6,0.76644439,0.0011645032,0.0,0,11.076097,13.715882,5.7602723e-05,9.7525349,11.076343,22.820053,-9.4888344
4.7,0.76199323,0.0011341113,0.0,0,11.076097,14.015884,7.8816403e-05,9.6949463,11.075985,22.763525,-9.4882421
4.8,0.75762957,0.0011288618,0.0,0,11.076097,14.315883,7.1075083e-05,9.6515827,11.076163,22.845619,-9.4882431
4.9,0.76073366,0.0008964903,0.0,0,11.076097,14.615881,8.3762905e-05,9.6937399,11.075592,22.880871,-9.4878855
5.0,0.75578648,0.0013723818,0.0,0,11.076097,14.915883,7.8952995e-05,9.631567,11.076931,22.845354,-9.4876966
5.1,0.75469702,0.00097361469,0.0,0,11.076097,15.215882,5.8853901e-05,9.6127729,11.076117,22.873875,-9.4877291
5.2,0.74708426,0.000847455,0.0,0,11.076097,15.515882,5.8731224e-05,9.5085411,11.07594,22.852209,-9.4873161
5.3,0.74906933,0.00073980232,0.0,0,11.076097,15.815881,6.9577043e-05,9.5358276,11.076729,22.837305,-9.4875536
5.4,0.75039953,0.00091661658,0.0,0,11.076097,16.115883,5.0680406e-05,9.5503283,11.076026,22.779964,-9.4870834
5.5,0.74908006,0.0012430233,0.0,0,11.076097,16.415886,7.2895426e-05,9.5481682,11.076301,22.863554,-9.4870205
5.6,0.74445128,0.00099134247,0.0,0,11.076097,16.715887,7.3538824e-05,9.4673014,11.076468,22.840906,-9.4865751
5.7,0.74680513,0.0010257246,0.0,0,11.076097,17.015884,8.8494548e-05,9.5153456,11.074676,22.838184,-9.486413
5.8,0.74452162,0.00087371503,0.0,0,11.076097,17.315884,5.8118541e-05,9.4792566,11.075866,22.77672,-9.4862471
5.9,0.74232614,0.00091930787,0.0,0,11.076097,17.615879,4.1233434e-05,9.4526606,11.078398,22.765247,-9.4860563
6.0,0.7389589,0.00082413043,0.0,0,11.076097,17.915888,6.4305517e-05,9.3948345,11.075944,22.840166,-9.4861546
6.1,0.74322563,0.00089191832,0.0,0,11.076097,18.215885,6.8929461e-05,9.4713306,11.075619,22.795923,-9.485919
6.2,0.73479426,0.00061926205,0.0,0,11.076097,18.515886,5.5869463e-05,9.3694506,11.076468,22.782969,-9.4854784
6.3,0.73254174,0.00076507305,0.0,0,11.076097,18.815882,2.9726521e-05,9.3337049,11.077215,22.835304,-9.4851007
6.4,0.73669153,0.00095432351,0.0,0,11.076097,19.115883,6.6582579e-05,9.3839931,11.076763,22.852257,-9.4850464
