Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,0.99416518,0.18000603,0.0,0,11.076097,0.0014914301,0.012091248,12.504846,11.076563,23.395477,-9.1291552
0.1,0.98294008,0.028065024,0.0,0,11.076097,0.21958582,0.0019032297,12.485819,11.075863,23.361057,-9.4765882
0.2,0.97711366,0.0043128068,0.0,0,11.076097,0.51604146,0.00027296616,12.451759,11.075201,23.33795,-9.4980574
0.3,0.97049814,0.0033484027,0.0,0,11.076097,0.81588715,0.00022939187,12.347831,11.076212,23.427896,-9.4995852
0.4,0.96539861,0.0036073087,0.0,0,11.076097,1.1158816,0.00024056483,12.302647,11.076694,23.392601,-9.5000973
0.5,0.95713598,0.0037373705,0.0,0,11.076097,1.4158804,0.00025681205,12.189061,11.075646,23.387188,-9.5002604
0.6,0.95884037,0.0038468577,0.0,0,11.076097,1.7158803,0.00023352071,12.212962,11.075612,23.375671,-9.4999161
0.7,0.95894086,0.0036051692,0.0,0,11.076097,2.0158813,0.00023496285,12.197642,11.076323,23.393507,-9.5000534
0.8,0.94874364,0.0039031859,0.0,0,11.076097,2.3158801,0.00025956574,12.081527,11.076351,23.356894,-9.4997644
0.9,0.9397409,0.003487295,0.0,0,11.076097,2.6158817,0.00024737683,11.954432,11.077007,23.398809,-9.4995928
1.0,0.93726867,0.003503287,0.0,0,11.076097,2.9158804,0.00024041445,11.92182,11.076911,23.42909,-9.4994574
1.1,0.9321897,0.0035499856,0.0,0,11.076097,3.2158799,0.00020980914,11.849631,11.076498,23.399916,-9.4993649
1.2,0.92406631,0.0033178655,0.0,0,11.076097,3.5158813,0.00023382467,11.779417,11.075497,23.400667,-9.4988689
1.3,0.9193719,0.0032915883,0.0,0,11.076097,3.8158805,0.0002214111,11.701808,11.076604,23.350302,-9.4984827
1.4,0.92021346,0.003552902,0.0,0,11.076097,4.115881,0.0002552043,11.719185,11.075912,23.316587,-9.497942
1.5,0.91420138,0.0035031666,0.0,0,11.076097,4.4158807,0.00021501307,11.630028,11.075445,23.304371,-9.4979038
1.6,0.91159075,0.0035396898,0.0,0,11.076097,4.7158809,0.0002240883,11.606241,11.075785,23.30784,-9.4976606
1.7,0.91026706,0.0035161313,0.0,0,11.076097,5.0158815,0.00024034397,11.585664,11.075199,23.340525,-9.4974079
1.8,0.91009462,0.0033570377,0.0,0,11.076097,5.3158803,0.00023926463,11.588106,11.075657,23.311697,-9.4974489
1.9,0.90722167,0.0034724954,0.0,0,11.076097,5.6158805,0.00022909402,11.53862,11.076304,23.387941,-9.4969864
2.0,0.90056652,0.0033800739,0.0,0,11.076097,5.9158802,0.00020499634,11.471349,11.075505,23.291943,-9.4967279
2.1,0.90182739,0.0035777376,0.0,0,11.076097,6.2158799,0.00023970273,11.468513,11.075271,23.322687,-9.4966221
2.2,0.89762741,0.0034615232,0.0,0,11.076097,6.5158815,0.00023705002,11.421058,11.07663,23.344275,-9.496397
2.3,0.90179127,0.0034013723,0.0,0,11.076097,6.8158798,0.00024449761,11.474094,11.076872,23.295506,-9.4966421
2.4,0.89646435,0.0033927648,0.0,0,11.076097,7.1158819,0.00021389504,11.402526,11.07633,23.368658,-9.4961929
2.5,0.89247328,0.0034672299,0.0,0,11.076097,7.4158802,0.00021681133,11.377189,11.075666,23.257359,-9.4961147
2.6,0.89576477,0.0035511642,0.0,0,11.076097,7.7158804,0.00025082679,11.40198,11.075442,23.271915,-9.4960308
2.7,0.8922863,0.0034544631,0.0,0,11.076097,8.0158815,0.00023621447,11.353221,11.075844,23.335295,-9.4957037
2.8,0.88825995,0.0033321397,0.0,0,11.076097,8.3158789,0.00023737586,11.305406,11.076328,23.297318,-9.4954157
2.9,0.88594764,0.003386599,0.0,0,11.076097,8.615881,0.00020352601,11.273885,11.076892,23.376141,-9.4952784
3.0,0.88569254,0.0032067038,0.0,0,11.076097,8.9158812,0.00021788348,11.279358,11.07691,23.294455,-9.4951468
3.1,0.88374341,0.003213672,0.0,0,11.076097,9.2158804,0.00021387274,11.257154,11.075334,23.296984,-9.4952745
3.2,0.8812924,0.0033613939,0.0,0,11.076097,9.5158806,0.00024498702,11.228437,11.074897,23.276251,-9.4948835
3.3,0.88019198,0.0034084492,0.0,0,11.076097,9.8158798,0.00022772304,11.213606,11.076288,23.315529,-9.4948378
3.4,0.88126576,0.0035134559,0.0,0,11.076097,10.115883,0.00021114651,11.243395,11.075917,23.319559,-9.494772
3.5,0.88053918,0.003352595,0.0,0,11.076097,10.41588,0.00023789499,11.214476,11.077053,23.315523,-9.4945803
3.6,0.88130563,0.0034760348,0.0,0,11.076097,10.715879,0.00023403023,11.209868,11.076794,23.266088,-9.4946909
3.7,0.87615693,0.0032819423,0.0,0,11.076097,11.015882,0.00022861168,11.153572,11.076257,23.259592,-9.4943056
3.8,0.87105078,0.0035410121,0.0,0,11.076097,11.315881,0.00022066321,11.088119,11.075748,23.314346,-9.4941635
3.9,0.86625111,0.0033959597,0.0,0,11.076097,11.615882,0.00021833586,11.019905,11.076831,23.280779,-9.4937029
4.0,0.86715555,0.0032742876,0.0,0,11.076097,11.915881,0.00021657246,11.034217,11.076286,23.252834,-9.493392
4.1,0.87083441,0.0031885321,0.0,0,11.076097,12.215881,0.00022537967,11.079173,11.075785,23.32478,-9.4932652
4.2,0.87086827,0.0030610061,0.0,0,11.076097,12.515882,0.00020652451,11.086947,11.07512,23.195978,-9.4934072
4.3,0.86618704,0.0035126947,0.0,0,11.076097,12.815881,0.00021092416,11.018928,11.07536,23.296825,-9.4933376
4.4,0.86544609,0.0031862436,0.0,0,11.076097,13.11588,0.00021419817,11.028971,11.077227,23.291763,-9.4930038
4.5,0.85897291,0.0033957099,0.0,0,11.076097,13.415881,0.00022378494,10.935003,11.077686,23.305559,-9.4926205
4.6,0.86372042,0.0031939179,0.0,0,11.076097,13.715882,0.00023425189,10.978748,11.076255,23.273443,-9.4923458
4.7,0.85910183,0.0033708131,0.0,0,11.076097,14.015881,0.00021118697,10.929277,11.077697,23.288792,-9.4921303
4.8,0.85665071,0.003357599,0.0,0,11.076097,14.315879,0.00021349384,10.908215,11.076325,23.32424,-9.4918575
4.9,0.85692155,0.003603861,0.0,0,11.076097,14.615883,0.000248461,10.912423,11.075844,23.303267,-9.4918165
5.0,0.85481989,0.0032821938,0.0,0,11.076097,14.915881,0.00022349243,10.890756,11.076171,23.246073,-9.4914274
5.1,0.85261571,0.003176712,0.0,0,11.076097,15.215879,0.00021451357,10.860155,11.075575,23.266685,-9.4912195
5.2,0.85161155,0.0034258033,0.0,0,11.076097,15.515882,0.00020929085,10.854789,11.075511,23.257832,-9.4911671
5.3,0.85525924,0.0032979245,0.0,0,11.076097,15.815881,0.00022555098,10.879123,11.07594,23.285963,-9.4911013
5.4,0.85702318,0.0031920525,0.0,0,11.076097,16.115883,0.00021342387,10.91405,11.076638,23.265879,-9.4909544
5.5,0.85306489,0.0033861864,0.0,0,11.076097,16.415878,0.00024216363,10.85423,11.07664,23.27039,-9.4910116
5.6,0.84724545,0.0035202706,0.0,0,11.076097,16.715885,0.00023012266,10.773292,11.076457,23.257116,-9.4905109
5.7,0.84771413,0.003396237,0.0,0,11.076097,17.015881,0.00020665102,10.782723,11.075626,23.284071,-9.4903297
5.8,0.84759247,0.0032313743,0.0,0,11.076097,17.31588,0.00022475827,10.785636,11.076404,23.185686,-9.4900637
5.9,0.84579504,0.0033122394,0.0,0,11.076097,17.615885,0.00022569431,10.77324,11.076039,23.292477,-9.4899349
