Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,0.76041979,0.49738246,0.0,0,11.076097,0.0015344591,0.033702087,9.3771744,11.075772,23.499479,-9.1162863
0.1,0.76318359,0.022547765,0.0,0,11.076097,0.21958299,0.0015090579,9.7133217,11.076941,23.418365,-9.458952
0.2,0.76066965,-0.0022821564,0.0,0,11.076097,0.51603436,-0.0001545065,9.690362,11.076231,23.457354,-9.4799232
0.3,0.75842905,-0.0037568654,0.0,0,11.076097,0.81588304,-0.00021463558,9.6598053,11.076203,23.417398,-9.4822254
0.4,0.75657684,-0.0033699309,0.0,0,11.076097,1.1158746,-0.00018215814,9.6422777,11.076432,23.411921,-9.4829836
0.5,0.75626284,-0.0032102603,0.0,0,11.076097,1.4158748,-0.00023762346,9.6421337,11.07613,23.477232,-9.4831572
0.6,0.75371557,-0.0031280778,0.0,0,11.076097,1.7158754,-0.00018837297,9.5983334,11.076636,23.422298,-9.4834061
0.7,0.74772006,-0.0031920564,0.0,0,11.076097,2.0158739,-0.00020151159,9.5210695,11.075934,23.504715,-9.4836073
0.8,0.74323696,-0.0031153467,0.0,0,11.076097,2.3158762,-0.00025513695,9.4566603,11.076628,23.398174,-9.4835262
0.9,0.74034494,-0.0029665304,0.0,0,11.076097,2.6158745,-0.00021291226,9.4236364,11.075964,23.379705,-9.4834614
1.0,0.73153472,-0.0035064423,0.0,0,11.076097,2.9158747,-0.00021275044,9.3103361,11.076509,23.400331,-9.4832592
1.1,0.72769511,-0.0034743212,0.0,0,11.076097,3.2158754,-0.00017722909,9.261961,11.076514,23.371614,-9.4825411
1.2,0.72246826,-0.0033986208,0.0,0,11.076097,3.5158741,-0.00022966876,9.2067204,11.076375,23.424517,-9.4825373
1.3,0.71620709,-0.0032416531,0.0,0,11.076097,3.815876,-0.00022081085,9.1272478,11.07644,23.442875,-9.4819832
1.4,0.7110424,-0.0032003699,0.0,0,11.076097,4.1158743,-0.00019102274,9.0567617,11.076015,23.446688,-9.4817171
1.5,0.71220851,-0.0032606928,0.0,0,11.076097,4.415875,-0.00024227017,9.0792274,11.075998,23.423296,-9.4815464
1.6,0.71121645,-0.0031727722,0.0,0,11.076097,4.7158756,-0.00024366584,9.0590954,11.076888,23.391281,-9.4810457
1.7,0.70660144,-0.0035904776,0.0,0,11.076097,5.0158739,-0.00023440024,9.0011492,11.076478,23.461702,-9.4808054
1.8,0.70561486,-0.003939169,0.0,0,11.076097,5.3158765,-0.00021958494,8.9816313,11.076513,23.399145,-9.4802036
1.9,0.70021737,-0.0035952718,0.0,0,11.076097,5.6158738,-0.00021275081,8.9032335,11.076135,23.386444,-9.4796906
2.0,0.69724649,-0.0034817152,0.0,0,11.076097,5.915875,-0.00025595262,8.8818083,11.076887,23.47275,-9.4793768
2.1,0.69059283,-0.0037290717,0.0,0,11.076097,6.2158761,-0.00022652121,8.7945929,11.076387,23.41556,-9.4790392
2.2,0.69343859,-0.0032224171,0.0,0,11.076097,6.5158749,-0.00023259118,8.820179,11.077033,23.353098,-9.4791727
2.3,0.6931051,-0.0030835469,0.0,0,11.076097,6.815876,-0.00024637318,8.8293657,11.076066,23.4382,-9.4790764
2.4,0.69797683,-0.0032089739,0.0,0,11.076097,7.1158748,-0.00021635805,8.8949413,11.076471,23.398294,-9.4792957
2.5,0.69619024,-0.0037913602,0.0,0,11.076097,7.4158745,-0.00022797649,8.875514,11.076758,23.405479,-9.4791365
2.6,0.69646287,-0.0037230367,0.0,0,11.076097,7.7158751,-0.00020342176,8.8891792,11.076089,23.385399,-9.4793291
2.7,0.69150478,-0.0034304904,0.0,0,11.076097,8.0158749,-0.00024397203,8.8184338,11.076783,23.379721,-9.4790602
2.8,0.69617927,-0.0034893234,0.0,0,11.076097,8.315877,-0.00022309617,8.871067,11.077038,23.397594,-9.479188
2.9,0.69655466,-0.0034826344,0.0,0,11.076097,8.6158762,-0.00022083023,8.874959,11.075865,23.363443,-9.4791899
