Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,0.77438736,0.46658638,0.0,0,11.076097,0.0014409337,0.031559978,9.5611944,11.076703,29.910601,-9.1277428
0.1,0.77254641,0.041057106,0.0,0,11.076097,0.2195795,0.0027744342,9.8067188,11.07615,29.810888,-9.4723616
0.2,0.77133054,-0.00079318212,0.0,0,11.076097,0.51603526,-2.9176799e-06,9.8195639,11.076058,29.809525,-9.4934864
0.3,0.76541233,-0.002405663,0.0,0,11.076097,0.81588149,-0.0001664561,9.7583408,11.075976,29.774872,-9.4950953
0.4,0.76363164,-0.0025039292,0.0,0,11.076097,1.115876,-0.00014762997,9.7183847,11.076097,29.812429,-9.4954195
0.5,0.76020962,-0.0023768013,0.0,0,11.076097,1.4158742,-0.00018416908,9.6895456,11.076004,29.861744,-9.4954185
0.6,0.75851727,-0.0023619421,0.0,0,11.076097,1.7158759,-0.00018070814,9.6613798,11.076097,29.782894,-9.4957533
0.7,0.74981719,-0.0024794717,0.0,0,11.076097,2.0158751,-0.00013820826,9.5451965,11.076014,29.792273,-9.4956007
0.8,0.74462795,-0.0022140406,0.0,0,11.076097,2.3158748,-0.00012245227,9.4865198,11.075849,29.820723,-9.495574
0.9,0.74308521,-0.002322414,0.0,0,11.076097,2.6158755,-0.00015787403,9.4505825,11.076361,29.804871,-9.4954119
1.0,0.73867416,-0.002275941,0.0,0,11.076097,2.915874,-0.00015273503,9.4146557,11.076871,29.843525,-9.4950895
1.1,0.73295748,-0.0022599541,0.0,0,11.076097,3.2158756,-0.00018743926,9.332489,11.076918,29.895483,-9.4952631
1.2,0.7317006,-0.0026352161,0.0,0,11.076097,3.5158746,-0.00016808225,9.330493,11.076233,29.810951,-9.4946775
1.3,0.72326726,-0.0027640786,0.0,0,11.076097,3.8158746,-0.00014280394,9.2206202,11.076837,29.791151,-9.4941912
1.4,0.71964073,-0.0023008983,0.0,0,11.076097,4.1158757,-0.00017775927,9.1674061,11.075676,29.757244,-9.4935808
1.5,0.71832293,-0.0023732125,0.0,0,11.076097,4.4158745,-0.00014146403,9.1483097,11.076211,29.789486,-9.4935007
1.6,0.71570921,-0.002266363,0.0,0,11.076097,4.7158761,-0.000198201,9.1151419,11.075933,29.804697,-9.4931917
1.7,0.71304411,-0.0023787788,0.0,0,11.076097,5.0158758,-0.00015640978,9.0803509,11.075148,29.708363,-9.4927902
1.8,0.71192688,-0.0027098027,0.0,0,11.076097,5.3158755,-0.00013691117,9.0712328,11.075944,29.69239,-9.4925737
1.9,0.70966929,-0.0024372104,0.0,0,11.076097,5.6158748,-0.00016656691,9.0438576,11.076965,29.71582,-9.4923763
2.0,0.70163852,-0.0027048877,0.0,0,11.076097,5.915875,-0.00016097503,8.9283152,11.076556,29.667173,-9.4920511
2.1,0.70471507,-0.0023074504,0.0,0,11.076097,6.2158761,-0.00018095245,8.9687223,11.077817,29.692303,-9.4917765
2.2,0.69902802,-0.0021978731,0.0,0,11.076097,6.5158758,-0.0001695566,8.9011087,11.077672,29.697405,-9.4917746
2.3,0.7026661,-0.0024510743,0.0,0,11.076097,6.8158746,-0.00014980412,8.9380846,11.076037,29.728588,-9.4917173
2.4,0.70165312,-0.0025086033,0.0,0,11.076097,7.1158757,-0.00013490723,8.9355268,11.076158,29.617197,-9.49154
2.5,0.69707781,-0.002449061,0.0,0,11.076097,7.415875,-0.00017425707,8.8679838,11.076254,29.648117,-9.4915428
2.6,0.69574684,-0.0023740842,0.0,0,11.076097,7.7158756,-0.00015167973,8.8673429,11.076079,29.590965,-9.491271
