Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,0.77975363,0.29432628,0.0,0,11.076097,0.0005230183,0.019804098,9.7284269,11.076071,24.519331,-9.116848
0.1,0.77376121,0.02138344,0.0,0,11.076097,0.21953623,0.0014108043,9.83918,11.076126,24.533508,-9.4636478
0.2,0.77028906,0.0084904255,0.0,0,11.076097,0.51603967,0.00056907081,9.809762,11.076203,24.460421,-9.4841204
0.3,0.76396024,0.0081100175,0.0,0,11.076097,0.81588751,0.00050972326,9.7195587,11.076665,24.501284,-9.4859152
0.4,0.76052773,0.0076144258,0.0,0,11.076097,1.1158805,0.00053395383,9.6729755,11.076109,24.506306,-9.4862003
0.5,0.75279981,0.0079146884,0.0,0,11.076097,1.4158815,0.00051963655,9.5705414,11.076955,24.50543,-9.4863462
0.6,0.7511856,0.007516962,0.0,0,11.076097,1.71588,0.00053048856,9.562005,11.075856,24.444431,-9.4862547
0.7,0.74705613,0.0078831017,0.0,0,11.076097,2.0158818,0.00052591151,9.5051451,11.076926,24.487507,-9.4863529
0.8,0.74234575,0.0075647184,0.0,0,11.076097,2.3158805,0.00051587739,9.4442177,11.076674,24.501772,-9.4861755
0.9,0.73848879,0.0075922688,0.0,0,11.076097,2.6158803,0.00051763857,9.4017878,11.075945,24.50535,-9.4859772
1.0,0.73579621,0.0074271802,0.0,0,11.076097,2.9158816,0.00048900448,9.3639069,11.075892,24.492302,-9.4858236
1.1,0.72859317,0.0075859684,0.0,0,11.076097,3.2158797,0.00050257077,9.2912436,11.076005,24.497026,-9.4858427
1.2,0.72558993,0.0077698445,0.0,0,11.076097,3.5158815,0.00050203764,9.2324047,11.075537,24.43405,-9.4851303
1.3,0.72047049,0.0074943234,0.0,0,11.076097,3.8158808,0.00048984034,9.1698647,11.076976,24.522434,-9.4847803
1.4,0.71792108,0.0075137326,0.0,0,11.076097,4.11588,0.00047343108,9.1488485,11.075614,24.436916,-9.4842806
1.5,0.71441919,0.0074737598,0.0,0,11.076097,4.4158812,0.00049452088,9.0985889,11.07473,24.483299,-9.4838772
1.6,0.71100545,0.007685821,0.0,0,11.076097,4.7158809,0.00048498285,9.0539246,11.075404,24.408125,-9.4837179
1.7,0.71008462,0.0074445517,0.0,0,11.076097,5.0158815,0.00052305806,9.0335579,11.075947,24.441843,-9.4832754
1.8,0.70530987,0.0077551436,0.0,0,11.076097,5.3158798,0.00049773382,8.9830542,11.075777,24.404501,-9.4833517
1.9,0.70353609,0.007499049,0.0,0,11.076097,5.6158805,0.00052732223,8.9645367,11.07536,24.497248,-9.4828997
2.0,0.70103985,0.0075813821,0.0,0,11.076097,5.9158816,0.00050572876,8.9260101,11.076019,24.423664,-9.4827328
2.1,0.70077264,0.0075776484,0.0,0,11.076097,6.2158809,0.00052694842,8.9044075,11.077554,24.483965,-9.4826231
2.2,0.69960207,0.0073424415,0.0,0,11.076097,6.5158815,0.00050584861,8.9122076,11.076761,24.457054,-9.4825621
2.3,0.6992597,0.0073743048,0.0,0,11.076097,6.8158803,0.00048868917,8.8956251,11.076987,24.459417,-9.482439
2.4,0.70015687,0.0075883488,0.0,0,11.076097,7.11588,0.0005043819,8.9039602,11.076383,24.48699,-9.4822483
2.5,0.69764787,0.0077521587,0.0,0,11.076097,7.4158816,0.00050556619,8.8836823,11.076434,24.469046,-9.4823627
2.6,0.69857925,0.0076377122,0.0,0,11.076097,7.7158809,0.00050193275,8.8785753,11.075836,24.388828,-9.482069
