Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,0.86715209,0.24900196,0.0,0,11.076097,0.0015211719,0.01677762,10.855685,11.075704,27.299162,-9.119729
0.1,0.86340094,0.019426428,0.0,0,11.076097,0.21962032,0.0013209006,10.972383,11.076361,27.28727,-9.4663591
0.2,0.85724485,0.0018664707,0.0,0,11.076097,0.51607376,0.00011148181,10.913728,11.075864,27.322531,-9.4866571
0.3,0.85311347,0.0012307711,0.0,0,11.076097,0.81592184,8.0654681e-05,10.866005,11.076404,27.346502,-9.4886837
0.4,0.8512246,0.0011322543,0.0,0,11.076097,1.1159143,5.6091842e-05,10.846973,11.07579,27.332138,-9.4887047
0.5,0.84863639,0.0012442693,0.0,0,11.076097,1.4159136,9.8005854e-05,10.807759,11.075845,27.320168,-9.4890051
0.6,0.84362352,0.0014922917,0.0,0,11.076097,1.7159148,0.0001061047,10.731865,11.076022,27.299089,-9.4888353
0.7,0.83674973,0.0015687379,0.0,0,11.076097,2.0159132,7.5792166e-05,10.639281,11.075925,27.273712,-9.4884338
0.8,0.83291847,0.0011355164,0.0,0,11.076097,2.3159151,0.00010552986,10.595035,11.07599,27.316072,-9.4880199
0.9,0.82322448,0.001345576,0.0,0,11.076097,2.6159139,0.00010618353,10.481896,11.076543,27.33066,-9.4882212
1.0,0.81831998,0.0011429202,0.0,0,11.076097,2.9159136,6.3000218e-05,10.405451,11.077367,27.289589,-9.4881544
1.1,0.81483245,0.0012294404,0.0,0,11.076097,3.215915,8.2294297e-05,10.384499,11.076419,27.329456,-9.4880209
1.2,0.81161422,0.0013339808,0.0,0,11.076097,3.5159132,7.3827505e-05,10.33483,11.075376,27.300795,-9.4873524
1.3,0.80948466,0.0011744879,0.0,0,11.076097,3.8159149,9.1207177e-05,10.327185,11.07553,27.327955,-9.4869957
1.4,0.80859524,0.001109926,0.0,0,11.076097,4.1159139,6.928225e-05,10.306383,11.076016,27.323566,-9.4869432
1.5,0.80609673,0.001540313,0.0,0,11.076097,4.4159131,7.3477051e-05,10.273678,11.076897,27.29418,-9.4864674
1.6,0.80249172,0.0012009073,0.0,0,11.076097,4.7159147,0.00010781049,10.212941,11.076993,27.280594,-9.486392
1.7,0.80007285,0.001425778,0.0,0,11.076097,5.0159125,0.0001116566,10.188459,11.075858,27.287231,-9.486268
