Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,0.93568093,0.31036982,0.0,0,11.076097,0.00033741558,0.020913297,11.657312,11.077017,24.120577,-9.123805
0.1,0.93009824,0.052107744,0.0,0,11.076097,0.21953683,0.0035327184,11.806465,11.075815,24.103296,-9.4712849
0.2,0.91960371,0.0060441089,0.0,0,11.076097,0.51603985,0.00039364834,11.715947,11.076313,24.140409,-9.492321
0.3,0.9120698,0.0041439575,0.0,0,11.076097,0.81588787,0.00026564518,11.615437,11.076041,24.169634,-9.493824
0.4,0.90843475,0.0037835245,0.0,0,11.076097,1.1158808,0.00025414658,11.561555,11.076297,24.120968,-9.4943542
0.5,0.90443861,0.0037563629,0.0,0,11.076097,1.4158814,0.00025836439,11.51356,11.076463,24.053745,-9.4944839
0.6,0.9001267,0.003945075,0.0,0,11.076097,1.7158802,0.00027003183,11.446715,11.077888,24.119408,-9.4945602
0.7,0.89174259,0.003752338,0.0,0,11.076097,2.0158813,0.0002182871,11.349627,11.076782,24.112295,-9.4944258
0.8,0.88057524,0.0035800219,0.0,0,11.076097,2.315881,0.00023843981,11.206052,11.075882,24.028202,-9.4941845
0.9,0.8802076,0.0036391206,0.0,0,11.076097,2.6158805,0.00024022329,11.180451,11.076333,24.080875,-9.4940338
1.0,0.87352806,0.0037259615,0.0,0,11.076097,2.9158812,0.00026768679,11.121218,11.077022,24.087759,-9.4937344
1.1,0.86642867,0.0038688539,0.0,0,11.076097,3.2158802,0.00025510037,11.029135,11.077198,24.091749,-9.4935436
1.2,0.86588198,0.0041677132,0.0,0,11.076097,3.5158815,0.00026158695,11.01646,11.077499,24.080885,-9.4930429
1.3,0.86189741,0.0037877508,0.0,0,11.076097,3.815881,0.00026621117,10.972819,11.076949,24.030581,-9.4931145
1.4,0.85770702,0.0037898584,0.0,0,11.076097,4.1158805,0.0002612868,10.911846,11.076234,24.091877,-9.4928255
1.5,0.84901255,0.0035020993,0.0,0,11.076097,4.4158816,0.00025828392,10.804983,11.076612,24.069742,-9.4921999
1.6,0.84886205,0.0035426177,0.0,0,11.076097,4.7158799,0.00022199398,10.812763,11.077246,24.029087,-9.4921827
1.7,0.84363407,0.003613017,0.0,0,11.076097,5.0158815,0.00022379657,10.737169,11.076526,24.115398,-9.4917164
1.8,0.83422035,0.00343669,0.0,0,11.076097,5.3158808,0.00023865758,10.625586,11.075409,24.100101,-9.491559
1.9,0.82869512,0.0035276664,0.0,0,11.076097,5.615881,0.00023998745,10.556202,11.076456,24.064241,-9.4909115
2.0,0.83531076,0.0035531812,0.0,0,11.076097,5.9158816,0.00024582612,10.631793,11.076412,24.109987,-9.4912558
2.1,0.83044589,0.0039423988,0.0,0,11.076097,6.2158799,0.00025323988,10.5791,11.07694,24.089802,-9.4916058
2.2,0.82380509,0.0035335112,0.0,0,11.076097,6.5158811,0.000238072,10.49497,11.075434,24.038294,-9.4906778
2.3,0.81855255,0.0037875243,0.0,0,11.076097,6.8158813,0.00025747385,10.427818,11.076253,24.066378,-9.4905491
2.4,0.82159358,0.0033841312,0.0,0,11.076097,7.11588,0.00024983418,10.461353,11.077541,24.156965,-9.4905643
2.5,0.81746393,0.0036160008,0.0,0,11.076097,7.4158821,0.00023827564,10.411492,11.076914,24.055883,-9.4904757
2.6,0.81153226,0.0035287119,0.0,0,11.076097,7.7158809,0.00021028912,10.326337,11.076561,24.101038,-9.4901915
2.7,0.80438071,0.0034134968,0.0,0,11.076097,8.0158815,0.00023829106,10.241386,11.075172,24.040035,-9.490222
2.8,0.79920888,0.0034086218,0.0,0,11.076097,8.3158817,0.00022180457,10.17584,11.07529,24.052341,-9.4898911
2.9,0.7980752,0.0033749894,0.0,0,11.076097,8.61588,0.00024771725,10.167525,11.075398,24.038,-9.4895411
3.0,0.79604983,0.0034179746,0.0,0,11.076097,8.9158812,0.00021574063,10.140057,11.076081,24.057348,-9.4895058
3.1,0.79859775,0.0035383562,0.0,0,11.076097,9.2158804,0.00022552519,10.159069,11.076685,24.022911,-9.4897337
3.2,0.78922755,0.0033870412,0.0,0,11.076097,9.5158806,0.00023566755,10.037232,11.077063,24.04866,-9.4895105
3.3,0.78830147,0.0034345428,0.0,0,11.076097,9.8158808,0.0002306282,10.024047,11.076637,24.018276,-9.48915
3.4,0.7837249,0.0030281732,0.0,0,11.076097,10.115882,0.00022184805,9.9757366,11.075836,24.042595,-9.4892645
3.5,0.78063148,0.0035258119,0.0,0,11.076097,10.415882,0.00022018122,9.9386053,11.075835,24.035248,-9.4891968
3.6,0.77953559,0.0033713696,0.0,0,11.076097,10.71588,0.00021722572,9.9005909,11.076294,24.029922,-9.4887524
3.7,0.7720319,0.0033986249,0.0,0,11.076097,11.015881,0.00023248671,9.8201818,11.075712,24.085617,-9.4884834
3.8,0.76912683,0.0031654469,0.0,0,11.076097,11.315883,0.00022536538,9.7975082,11.076927,24.093664,-9.4885015
3.9,0.76920986,0.0032291443,0.0,0,11.076097,11.615881,0.00021012229,9.7969866,11.075792,24.054832,-9.4884682
4.0,0.77117801,0.0032420927,0.0,0,11.076097,11.915881,0.00019731256,9.8091488,11.077292,24.04608,-9.48841
4.1,0.76205331,0.0031745764,0.0,0,11.076097,12.215879,0.00021218238,9.6971588,11.076818,24.007893,-9.4882011
4.2,0.76032156,0.0030497287,0.0,0,11.076097,12.515883,0.00020524807,9.6755514,11.07645,24.034166,-9.4877901
4.3,0.75952059,0.0030188779,0.0,0,11.076097,12.815884,0.00022558164,9.6650133,11.075775,24.012651,-9.4875813
4.4,0.75336009,0.0030116427,0.0,0,11.076097,13.11588,0.00020054226,9.5860758,11.074632,23.996857,-9.4873505
4.5,0.7532565,0.0032595233,0.0,0,11.076097,13.41588,0.00019296384,9.5939751,11.075071,24.063622,-9.4870682
4.6,0.75316441,0.0031973429,0.0,0,11.076097,13.715881,0.00022655884,9.5963974,11.077039,24.069126,-9.4870634
4.7,0.75053322,0.0029942272,0.0,0,11.076097,14.015882,0.00020005273,9.564043,11.076177,24.071301,-9.4871302
4.8,0.75315028,0.0031380982,0.0,0,11.076097,14.315881,0.00022761065,9.5860224,11.076879,24.056351,-9.486908
4.9,0.74761605,0.003168636,0.0,0,11.076097,14.615881,0.00019979865,9.5185051,11.07684,24.093719,-9.4867201
5.0,0.74448341,0.0031681422,0.0,0,11.076097,14.915882,0.00020209042,9.4801474,11.076691,24.001492,-9.4866858
5.1,0.74927515,0.0030026084,0.0,0,11.076097,15.215882,0.00021287464,9.5480928,11.076242,24.037346,-9.4863129
5.2,0.74141574,0.002969729,0.0,0,11.076097,15.515882,0.00020477458,9.4390297,11.076348,24.009584,-9.4858866
5.3,0.73787522,0.0028773339,0.0,0,11.076097,15.81588,0.00020536908,9.3903008,11.075727,24.011106,-9.4858217
5.4,0.73461622,0.0031106579,0.0,0,11.076097,16.115881,0.00018814176,9.3401508,11.076673,24.025232,-9.485652
5.5,0.73320746,0.003033781,0.0,0,11.076097,16.415882,0.00019927848,9.3404589,11.075956,23.975601,-9.4856462
5.6,0.73619562,0.0030403377,0.0,0,11.076097,16.715883,0.00020739931,9.3844786,11.075127,23.989416,-9.4851179
5.7,0.73547357,0.0029905071,0.0,0,11.076097,17.015881,0.00021691345,9.3575764,11.076861,24.016495,-9.4852715
5.8,0.73107487,0.0031583509,0.0,0,11.076097,17.315882,0.00021028378,9.3037004,11.07752,24.0021,-9.4847288
5.9,0.73967814,0.0032662011,0.0,0,11.076097,17.615885,0.00020333487,9.4199562,11.074648,24.047091,-9.484993
6.0,0.73325241,0.003150549,0.0,0,11.076097,17.915884,0.0002171118,9.3261261,11.076016,24.030199,-9.4845495
6.1,0.73310411,0.0029872346,0.0,0,11.076097,18.215883,0.00020062727,9.3395967,11.076491,23.946815,-9.4845724
6.2,0.72348958,0.0028081744,0.0,0,11.076097,18.515879,0.00021067199,9.2069368,11.075998,23.981081,-9.484211
6.3,0.7282908,0.0026920536,0.0,0,11.076097,18.815884,0.00016690871,9.2780256,11.075788,24.028738,-9.484127
6.4,0.72274184,0.0029944547,0.0,0,11.076097,19.115885,0.0001877235,9.215291,11.07718,23.962448,-9.4841738
6.5,0.72382933,0.0029314433,0.0,0,11.076097,19.415886,0.00021227407,9.2168684,11.076671,24.00934,-9.4837627
6.6,0.72544479,0.0029612051,0.0,0,11.076097,19.715881,0.00019130346,9.2369003,11.076971,24.027927,-9.4836006
6.7,0.72362435,0.0026945579,0.0,0,11.076097,20.015882,0.00019008889,9.2186289,11.076104,24.036028,-9.4833813
6.8,0.72322047,0.0031773015,0.0,0,11.076097,20.315884,0.00019488155,9.212512,11.076842,24.011568,-9.4830894
6.9,0.72556311,0.0031979352,0.0,0,11.076097,20.615879,0.0002012661,9.2207041,11.075473,23.965754,-9.483037
7.0,0.71712232,0.003069038,0.0,0,11.076097,20.915886,0.00020995473,9.1223488,11.076521,23.998518,-9.4825506
7.1,0.7151866,0.0030221986,0.0,0,11.076097,21.215883,0.00021023545,9.101141,11.076923,24.010324,-9.4823112
