level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress,sampled strain,sampled stress,fitting strain,fitting stress,model strain,ramberg stress,ramberg plastic strain,ramberg accumulated plastic strain
1773,1773,145.3439,0.48595235,0.046863034,0.0,0,9.0336914,0.0,0.0029801505,5.9043565671639655,10.035624,302.31415,-9.3252954,5.9043565671639655,0.0029801505,5.9043565671639655,0.0,5.9043565671639655,0.0,0.0,0.0,0.0
1774,1774,145.3441,0.94900227,0.052833445,0.0,0,9.0044279,0.0,0.003254768,11.525547912988127,9.9899282,302.44638,-9.3253136,11.525547912988127,0.055458914,116.84684612123142,0.0490098535,103.2132393165513,0.0021216386796536796,106.3758961449512,0.0021188086500515584,0.0021188086500515584
1775,1775,145.3443,2.5057325,0.069299914,0.0,0,8.9751635,0.0,0.0046001635,30.39622133074199,9.9516277,302.57858,-9.3259897,30.39622133074199,0.11086278,117.45211263088802,0.098019707,117.31180686291192,0.004243277359307359,107.66149070205991,0.004240413127684059,0.004240413127684059
1776,1776,145.3445,4.4151216,0.10353631,0.0,0,8.9459,0.0,0.0063896924,53.42769082837276,9.9191151,302.71082,-9.3260231,53.42769082837276,0.15472282,118.85105411484746,0.1470295605,118.60567312884254,0.006364916038961039,108.43943196494693,0.006362031110949906,0.006362031110949906
1777,1777,145.3447,5.6528659,0.13554043,0.0,0,8.9166355,0.0,0.0085107693,68.24927620388273,9.8903818,302.84302,-9.3243046,68.24927620388273,0.19902819,119.73443069119124,0.196039414,119.67483938859432,0.008486554718614718,109.00337723576716,0.008483654787375708,0.008483654787375708
1778,1778,145.3449,6.2292171,0.1518916,0.0,0,8.8873711,0.0,0.010216158,75.11971031580026,9.8596935,302.97525,-9.3227224,75.11971031580026,0.24539647,120.11153254194136,0.2450492675,120.1087088291503,0.010608193398268398,109.44780320366011,0.010605281643498958,0.010605281643498958
1779,1779,145.3451,6.616365,0.17955042,0.0,0,8.8581076,0.0,0.011563532,79.63016661189569,9.8258114,303.10748,-9.3209686,79.63016661189569,0.29418182,120.18728854049375,0.294059121,120.1870980081871,0.012729832077922078,109.81553326008842,0.012726910540044031,0.012726910540044031
1780,1780,145.3453,7.1612625,0.23396334,0.0,0,8.8288431,0.0,0.014597235,85.85118812653897,9.7861948,303.23969,-9.3194532,85.85118812653897,0.34347159,119.82638899101283,0.3430689745,119.8293369405075,0.014851470757575758,110.129717349438,0.014848540861128658,0.014848540861128658
1781,1781,145.3455,7.5038505,0.30156913,0.0,0,8.7995796,0.0,0.019515907,89.519444412376,9.7432623,303.37192,-9.3193054,89.519444412376,0.39330208,118.78496736086905,0.392078828,118.81053245348437,0.016973109437229437,110.4043248253036,0.016970172235111467,0.016970172235111467
1782,1782,145.3457,7.5911856,0.36879843,0.0,0,8.7703152,0.0,0.024135502,90.11987082722096,9.6949463,303.50412,-9.3195801,90.11987082722096,0.44344744,117.7918487969784,0.44108868149999997,117.83856352500278,0.019094748116883116,110.64844938648218,0.01909180442006325,0.01909180442006325
