level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress,sampled strain,sampled stress,fitting strain,fitting stress,model strain,ramberg stress,ramberg plastic strain,ramberg accumulated plastic strain
1973,1973,165.3448,1.1929153,0.0049397689,0.0,0,9.0337067,0.0,0.0004131037,14.53724822282658,10.069327,366.05283,-9.2889547,14.53724822282658,0.0004131037,14.53724822282658,0.0,14.53724822282658,0.0,0.0,0.0,0.0
1974,1974,165.345,2.4937165,0.022107366,0.0,0,9.0044422,0.0,0.001397299,30.35221417966301,10.032173,366.23657,-9.2893105,30.35221417966301,0.053222623,98.62132788126236,0.0478451045,90.05916522740326,0.0021123666445916115,88.6865377421624,0.0021070659245932878,0.0021070659245932878
1975,1975,165.3452,4.1833806,0.046077829,0.0,0,8.9751787,0.0,0.0025571147,50.83122020481503,9.9994001,366.42032,-9.2891808,50.83122020481503,0.10816115,97.47638474954144,0.095690209,97.73628465992758,0.004224733289183223,89.31356117754386,0.004219395092519918,0.004219395092519918
1976,1976,165.3454,5.2671432,0.070490837,0.0,0,8.9459143,0.0,0.0044881892,63.88856739562141,9.9701748,366.6041,-9.2890606,63.88856739562141,0.15233296,97.20214338028404,0.14353531349999998,97.25676370538284,0.006337099933774834,89.68760134189571,0.006331739381044534,0.006331739381044534
1977,1977,165.3456,5.7447758,0.093895137,0.0,0,8.9166508,0.0,0.0062234914,69.56582105025068,9.9401598,366.78784,-9.2880239,69.56582105025068,0.19592471,96.91113471923596,0.191380418,96.94147138455294,0.008449466578366446,89.95633590375647,0.008444089963596713,0.008444089963596713
1978,1978,165.3458,6.0678258,0.11943451,0.0,0,8.8873863,0.0,0.0074070911,73.3437603623293,9.9079008,366.97159,-9.2863226,73.3437603623293,0.23865588,96.8695802361674,0.2392255225,96.8665549073439,0.010561833222958058,90.16673011129218,0.010556444033102954,0.010556444033102954
1979,1979,165.346,6.5363612,0.16673504,0.0,0,8.8581219,0.0,0.010415925,78.73973543668463,9.871666,367.15536,-9.2848864,78.73973543668463,0.28411111,96.62817090049109,0.28707062699999997,96.58181905779402,0.012674199867549668,90.33991284118984,0.012668800326708009,0.012668800326708009
1980,1980,165.3462,6.8444228,0.23548347,0.0,0,8.8288584,0.0,0.015098809,82.04382784987861,9.8318949,367.33911,-9.2847662,82.04382784987861,0.33059216,95.90018646316751,0.3349157315,95.78740110132327,0.01478656651214128,90.48724171699644,0.014781158165576248,0.014781158165576248
1981,1981,165.3464,6.8610334,0.30044442,0.0,0,8.7995939,0.0,0.019280119,81.85743896263713,9.7890549,367.52286,-9.2844124,81.85743896263713,0.37879369,94.64279381856882,0.382760836,94.55834550352968,0.016898933156732892,90.6155389761983,0.016893517141948252,0.016893517141948252
1982,1982,165.3466,6.9278712,0.34626314,0.0,0,8.7703304,0.0,0.022762045,82.38029011684932,9.7407522,367.70663,-9.2838631,82.38029011684932,0.42709121,93.61468842880764,0.4306059405,93.5624479948999,0.019011299801324502,90.72922865407779,0.019005876991403145,0.019005876991403145
1983,1983,165.3468,7.2679081,0.38466361,0.0,0,8.7416534,0.0,0.025764674,86.1822854411473,9.688344,367.88754,-9.2838135,86.1822854411473,0.47513938,92.90053488296029,0.478451045,92.84888588880804,0.021123666445916116,90.83134551614137,0.021118237532555536,0.021118237532555536
1984,1984,165.347,7.5122271,0.4346652,0.0,0,8.7136879,0.0,0.02857035,88.75444092538113,9.6367092,368.04282,-9.2843189,88.75444092538113,0.52357453,92.145136381266,0.5262961495,92.1038813586908,0.023236033090507726,90.92406306427633,0.023230598635497035,0.023230598635497035
1985,1985,165.3472,7.5888481,0.48586982,0.0,0,8.6858492,0.0,0.032036178,89.32349280690593,9.5906782,368.19809,-9.2844925,89.32349280690593,0.57166028,91.41623996433646,0.5741412539999999,91.39155525740081,0.025348399735099336,91.00899207490863,0.025342960203952894,0.025342960203952894
1986,1986,165.3474,7.8069501,0.519117,0.0,0,8.6580172,0.0,0.035095908,91.66604919351498,9.5431404,368.35336,-9.2834091,91.66604919351498,0.61839396,90.9512583906382,0.6219863585,90.9580918959718,0.02746076637969095,91.08735990118183,0.02745532216456524,0.02745532216456524
1987,1987,165.3476,8.0880413,0.54053092,0.0,0,8.6301851,0.0,0.03646569,94.81664359340915,9.4997864,368.50867,-9.2828865,94.81664359340915,0.66549486,91.04085431140471,0.669831463,91.050281609876,0.02957313302428256,91.16012352071866,0.02956768446013632,0.02956768446013632
1988,1988,165.3478,8.0602484,0.55884331,0.0,0,8.6023531,0.0,0.037473291,94.36310317562383,9.465167,368.66394,-9.2828569,94.36310317562383,0.71270829,91.14349112101424,0.7176765675,91.17551472533084,0.03168549966887417,91.22804371652431,0.03168004704519478,0.03168004704519478
1989,1989,165.348,7.7894135,0.5831117,0.0,0,8.574522,0.0,0.039452024,91.0287978685088,9.43081,368.81921,-9.2831297,91.0287978685088,0.76129711,91.4566759513485,0.765521672,91.48425180295219,0.033797866313465784,91.2917354115692,0.033792409882987186,0.033792409882987186
