level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress,sampled strain,sampled stress,fitting strain,fitting stress,model strain,ramberg stress,ramberg plastic strain,ramberg accumulated plastic strain
1873,1873,155.3444,0.78002334,0.0084406519,0.0,0,9.0337067,0.0,0.00027091574,9.503253454249052,10.043098,330.94385,-9.3071289,9.503253454249052,0.00027091574,9.503253454249052,0.0,9.503253454249052,0.0,0.0,0.0,0.0
1874,1874,155.3446,1.3304853,0.0065688742,0.0,0,9.0044422,0.0,0.00053724024,16.211846343670036,10.000762,331.04489,-9.3070736,16.211846343670036,0.05413327,111.1189207117344,0.04940576,102.20009252985548,0.002045118605664488,104.27048960085425,0.002037822815084222,0.002037822815084222
1875,1875,155.3448,2.8870025,0.025295578,0.0,0,8.9751787,0.0,0.001486312,35.13112765581638,9.9658289,331.14594,-9.3070183,35.13112765581638,0.10824599,111.99787124409166,0.09881152,111.8446275625874,0.004090237211328976,104.91865080334524,0.004082896069006201,0.004082896069006201
1876,1876,155.345,4.5954895,0.05845885,0.0,0,8.9459143,0.0,0.0031700295,55.78945747057495,9.9364424,331.24695,-9.3062782,55.78945747057495,0.15457343,113.57958906613646,0.14821728,113.3625765194775,0.0061353558169934645,105.3055043155289,0.006127987606588234,0.006127987606588234
1877,1877,155.3452,5.5549741,0.08062499,0.0,0,8.9166508,0.0,0.0051362058,67.33117644698267,9.9078436,331.34799,-9.3056107,67.33117644698267,0.19938622,113.14797087528132,0.19762304,113.16495309312029,0.008180474422657952,105.58355815595392,0.008173086756867046,0.008173086756867046
1878,1878,155.3454,5.9869208,0.10618258,0.0,0,8.8873863,0.0,0.0068952315,72.43444157910945,9.8760271,331.44904,-9.3047762,72.43444157910945,0.24463542,113.05343730686272,0.2470288,113.03858671765717,0.01022559302832244,105.8013191525528,0.010218190125827134,0.010218190125827134
1879,1879,155.3456,6.3817549,0.14786839,0.0,0,8.8581219,0.0,0.008974934,76.98140560735686,9.8414745,331.55005,-9.3032179,76.98140560735686,0.29297319,112.75350818345466,0.29643456,112.69368055430463,0.012270711633986929,105.98061387924572,0.01226329618626638,0.01226329618626638
1880,1880,155.3458,6.9248719,0.20062022,0.0,0,8.8288584,0.0,0.012604546,83.21696697765087,9.8056545,331.65109,-9.3024483,83.21696697765087,0.34208032,111.90472196231624,0.34584032,111.81961220794487,0.014315830239651417,106.13317720702743,0.014308404117097617,0.014308404117097617
1881,1881,155.346,7.232254,0.27199197,0.0,0,8.7995939,0.0,0.017527811,86.46437471320851,9.7653904,331.75214,-9.3023443,86.46437471320851,0.39267144,110.75956297386598,0.39524608,110.70623546705357,0.016360948845315904,106.26605920323803,0.01635351342502868,0.01635351342502868
1882,1882,155.3462,7.3667412,0.33487865,0.0,0,8.7703304,0.0,0.021530801,87.6715020031598,9.7203999,331.85318,-9.3024158,87.6715020031598,0.44265571,109.72425842684636,0.44465184,109.6796784874061,0.018406067450980394,106.38383237240174,0.018398623790122116,0.018398623790122116
1883,1883,155.3464,7.6681657,0.36512429,0.0,0,8.7416534,0.0,0.024138324,91.05812360493398,9.670927,331.95419,-9.302701,91.05812360493398,0.49217793,108.61826955410363,0.4940576,108.590739176448,0.02045118605664488,106.48963378298814,0.02044373499287771,0.02044373499287771
1884,1884,155.3466,8.0996447,0.40354282,0.0,0,8.7136879,0.0,0.026974348,95.91266608958392,9.621335,332.05524,-9.3031721,95.91266608958392,0.54101384,107.90299982832376,0.54346336,107.89758166650593,0.02249630466230937,106.58571050723133,0.022488846876068155,0.022488846876068155
1885,1885,155.3468,8.3517656,0.45969856,0.0,0,8.6858492,0.0,0.030168159,98.4924222616118,9.5755301,332.15628,-9.3029509,98.4924222616118,0.59062147,107.79327132366213,0.59286912,107.7780460315438,0.024541423267973858,106.67372805032997,0.024533959323158307,0.024533959323158307
1886,1886,155.347,8.4763403,0.49981308,0.0,0,8.6580172,0.0,0.033221502,99.66733736846167,9.5283575,332.25729,-9.3016596,99.66733736846167,0.64026868,107.45696750629293,0.64227488,107.45779239333221,0.026586541873638344,106.75495561246113,0.0265790722453424,0.0265790722453424
1887,1887,155.3472,8.7704687,0.52604181,0.0,0,8.6301851,0.0,0.035716444,102.92674317678812,9.4824982,332.35834,-9.3008604,102.92674317678812,0.68982613,107.47734398830136,0.69168064,107.49525321481582,0.028631660479302833,106.83038290562196,0.02862418557337046,0.02862418557337046
1888,1888,155.3474,9.019805,0.54606152,0.0,0,8.6023531,0.0,0.036769722,105.6966054480578,9.4427843,332.45938,-9.3001213,105.6966054480578,0.73965144,107.95851301027656,0.7410864,107.96044930835421,0.03067677908496732,106.90079681500063,0.030669299252184225,0.030669299252184225
1889,1889,155.3476,8.9234905,0.56079763,0.0,0,8.574522,0.0,0.037574045,104.45417779708622,9.4112062,332.56039,-9.2986326,104.45417779708622,0.78950274,108.0257810709599,0.79049216,108.03906283761823,0.03272189769063181,106.96683342121412,0.032714413237277244,0.032714413237277244
1890,1890,155.3478,8.7143393,0.5938825,0.0,0,8.546689,0.0,0.04008507,101.75646026904865,9.377574,332.66144,-9.2983894,101.75646026904865,0.83815616,108.67889438135404,0.83989792,108.72187596012664,0.0347670162962963,107.02901432256095,0.03475952749215335,0.03475952749215335
1891,1891,155.348,8.8246059,0.6391629,0.0,0,8.518857,0.0,0.042979002,102.69823163790988,9.3431339,332.76248,-9.2990723,102.69823163790988,0.88782233,109.9045112276407,0.88930368,109.9303076003337,0.03681213490196079,107.08777262552813,0.03680464198650816,0.03680464198650816
1892,1892,155.3482,9.1111498,0.66635519,0.0,0,8.4910259,0.0,0.044893779,105.81852773121372,9.3154955,332.86353,-9.2994452,105.81852773121372,0.93870944,110.79066430073648,0.93870944,110.79066430073648,0.03885725350762527,107.14347194405696,0.03884975669489965,0.03884975669489965
