level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress,sampled strain,sampled stress,fitting strain,fitting stress,model strain,ramberg stress,ramberg plastic strain,ramberg accumulated plastic strain
1873,1873,155.3448,1.1591333,0.038278293,0.0,0,9.0337067,0.0,0.0023505834,14.092158177686304,10.0417,331.97104,-9.3067589,14.092158177686304,0.0023505834,14.092158177686304,0.0,14.092158177686304,0.0,0.0,0.0,0.0
1874,1874,155.345,2.2785997,0.047320578,0.0,0,9.0044422,0.0,0.0032060887,27.684251440409675,10.007486,332.02588,-9.3068361,27.684251440409675,0.051657207,107.85126849632418,0.047369835,99.69860755595836,0.0020730781181619255,103.64746338075587,0.002066376177419519,0.002066376177419519
1875,1875,155.3452,3.8391709,0.07576222,0.0,0,8.9751787,0.0,0.004608199,46.55027390040344,9.9791651,332.08072,-9.3068399,46.55027390040344,0.1044347,109.94149860132646,0.09473967,109.55753107230987,0.004146156236323851,104.24675273081479,0.004139415544978384,0.004139415544978384
1876,1876,155.3454,5.035481,0.10520047,0.0,0,8.9459143,0.0,0.0064311218,60.92745650203855,9.9510784,332.13556,-9.3061476,60.92745650203855,0.14845818,111.59930492162256,0.142109505,111.36023082887692,0.006219234354485776,104.60382990848814,0.006212470574200097,0.006212470574200097
1877,1877,155.3456,5.6797256,0.119481,0.0,0,8.9166508,0.0,0.0080047138,68.65244019362315,9.9199362,332.1904,-9.3051519,68.65244019362315,0.19363637,111.98434677571174,0.18947934,111.94891750024266,0.008292312472647702,104.86020075572388,0.008285532115186178,0.008285532115186178
1878,1878,155.3458,6.0683708,0.14265572,0.0,0,8.8873863,0.0,0.0091874748,73.22849162791084,9.8854837,332.24524,-9.3037519,73.22849162791084,0.2381532,111.93603681164446,0.236849175,111.93745194836674,0.010365390590809627,105.0608169240359,0.01035859726132131,0.01035859726132131
1879,1879,155.346,6.5432987,0.18562315,0.0,0,8.8581219,0.0,0.011464315,78.71642507575301,9.8470488,332.30008,-9.3023567,78.71642507575301,0.2839182,111.43317644500152,0.28421901,111.43002783471589,0.012438468708971553,105.22588799613531,0.012431664705835205,0.012431664705835205
1880,1880,155.3462,6.9320674,0.23852262,0.0,0,8.8288584,0.0,0.015402166,83.07619906966055,9.8058681,332.35492,-9.3016386,83.07619906966055,0.32971498,110.95381667452516,0.33158884499999997,110.9209256854746,0.014511546827133478,105.3662722776526,0.014504733746619786,0.014504733746619786
1881,1881,155.3464,7.1073799,0.29927117,0.0,0,8.7995939,0.0,0.019553082,84.80375617328724,9.766923,332.40976,-9.3018894,84.80375617328724,0.37695566,110.1246253034173,0.37895868,110.08236514833168,0.016584624945295404,105.48848965652651,0.016577803962093077,0.016577803962093077
1882,1882,155.3466,7.3206873,0.34721956,0.0,0,8.7703304,0.0,0.022551104,87.04526488026514,9.7235603,332.4646,-9.302289,87.04526488026514,0.42431304,109.12546891793473,0.426328515,109.08108075750106,0.018657703063457327,105.59676681202282,0.018650875078954087,0.018650875078954087
1883,1883,155.3468,7.7221799,0.37501228,0.0,0,8.7416534,0.0,0.02492414,91.63347884902076,9.6745338,332.51944,-9.3020668,91.63347884902076,0.47232586,108.06805031585202,0.47369835,108.05037672816209,0.020730781181619255,105.69400237719968,0.020723946909774534,0.020723946909774534
1884,1884,155.347,8.0249929,0.41866538,0.0,0,8.7136879,0.0,0.02782622,94.92368000675356,9.6277876,332.57428,-9.3022547,94.92368000675356,0.51855779,107.47272060931144,0.521068185,107.4527792044303,0.022803859299781182,105.78227188771473,0.02279701932034836,0.02279701932034836
1885,1885,155.3472,8.1628437,0.4735606,0.0,0,8.6858492,0.0,0.031053908,96.16656462116896,9.5806141,332.62912,-9.3017092,96.16656462116896,0.56576598,107.09772080629423,0.56843802,107.07991547552045,0.024876937417943105,105.86311321070315,0.02487009221123565,0.02487009221123565
1886,1886,155.3474,8.4199057,0.50311577,0.0,0,8.6580172,0.0,0.033725183,98.97970141469696,9.5361023,332.68396,-9.3013573,98.97970141469696,0.61285532,106.78393760146984,0.615807855,106.77679631093368,0.02695001553610503,105.93769793551742,0.026943165506680355,0.026943165506680355
1887,1887,155.3476,8.7290859,0.52054697,0.0,0,8.6301851,0.0,0.035388146,102.48259401826044,9.4964256,332.7388,-9.3011446,102.48259401826044,0.66103202,106.66741271293368,0.6631776899999999,106.68140073377555,0.029023093654266956,106.00693941213306,0.029016239147624433,0.029016239147624433
1888,1888,155.3478,8.7680159,0.54077864,0.0,0,8.6023531,0.0,0.036245137,102.786151398192,9.4595575,332.79364,-9.3000517,102.786151398192,0.7085644,106.97728511740554,0.710547525,106.98568057030063,0.031096171772428884,106.0715636325908,0.03108931308712456,0.03108931308712456
