level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress,sampled strain,sampled stress,fitting strain,fitting stress,model strain,ramberg stress,ramberg plastic strain,ramberg accumulated plastic strain
1972,1972,165.3437,1.0057675,0.012191684,0.0,0,9.0629425,0.0,0.00098395417,12.250299034079536,10.084554,362.57523,-9.2901678,12.250299034079536,0.00098395417,12.250299034079536,0.0,12.250299034079536,0.0,0.0,0.0,0.0
1973,1973,165.3439,1.511001,0.019496659,0.0,0,9.0336781,0.0,0.0013114747,18.394525306764912,10.044338,362.66046,-9.2901182,18.394525306764912,0.051814888,97.110942342259,0.0475782395,90.03799108814599,0.002091351186813187,90.21592003700127,0.0020865806869799024,0.0020865806869799024
1974,1974,165.3441,2.9290299,0.04168338,0.0,0,9.0044146,0.0,0.0021816557,35.601045083530444,10.008451,362.74573,-9.2895546,35.601045083530444,0.10652275,96.18081193263168,0.095156479,96.37405864187367,0.004182702373626374,90.8262576166181,0.004177899599940308,0.004177899599940308
1975,1975,165.3443,4.4210839,0.061844539,0.0,0,8.9751501,0.0,0.0037950014,53.65922275892677,9.9797621,362.83096,-9.2888794,53.65922275892677,0.1503718,97.90727865898226,0.1427347185,97.60658418336244,0.006274053560439561,91.19016738521756,0.006269231543680989,0.006269231543680989
1976,1976,165.3445,5.3089318,0.088600598,0.0,0,8.9458866,0.0,0.0056985379,64.31231447720796,9.9541521,362.9162,-9.2880573,64.31231447720796,0.19307476,98.4795764247036,0.190312958,98.4425632266966,0.008365404747252747,91.45153935725719,0.008360568909486214,0.008360568909486214
1977,1977,165.3447,5.7988157,0.11717748,0.0,0,8.9166222,0.0,0.0072276792,70.1034665677561,9.9222088,363.00143,-9.2868376,70.1034665677561,0.23656249,97.95867854240944,0.2378911975,97.94095461029939,0.010456755934065934,91.65611968781182,0.010451909278359149,0.010451909278359149
1978,1978,165.3449,6.1955533,0.14413022,0.0,0,8.8873577,0.0,0.0091574807,74.75533353342615,9.8848896,363.08667,-9.2855635,74.75533353342615,0.28174245,97.35601276098284,0.285469437,97.34821598231645,0.012548107120879122,91.82448398838649,0.012543251562288374,0.012543251562288374
1979,1979,165.3451,6.6347971,0.20189615,0.0,0,8.8580942,0.0,0.012875011,79.72378401242193,9.8453445,363.17191,-9.2844391,79.72378401242193,0.32836619,97.2584768743861,0.3330476765,97.1924092375257,0.014639458307692308,91.96769041075252,0.014634595176533283,0.014634595176533283
1980,1980,165.3453,6.7792959,0.27897361,0.0,0,8.8288298,0.0,0.017488703,81.00814841013009,9.8028316,363.25714,-9.2839947,81.00814841013009,0.37645867,96.57977012080336,0.380625916,96.49067051878194,0.016730809494505495,92.09238026771993,0.01672593976990995,0.01672593976990995
1981,1981,165.3455,6.7529645,0.33250678,0.0,0,8.7995663,0.0,0.021590749,80.3808077348236,9.7565813,363.34241,-9.2839975,80.3808077348236,0.4252342,95.53690384619811,0.4282041555,95.47202208842046,0.018822160681318683,92.20285968926869,0.01881728511471585,0.01881728511471585
