level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress,sampled strain,sampled stress,fitting strain,fitting stress,model strain,ramberg stress,ramberg plastic strain,ramberg accumulated plastic strain
2272,2272,195.3437,0.47431728,0.022016106,0.0,0,9.0629702,0.0,0.0014829352,5.773179509634895,10.086761,451.12708,-9.2364321,5.773179509634895,0.0014829352,5.773179509634895,0.0,5.773179509634895,0.0,0.0,0.0,0.0
2273,2273,195.3439,1.8431611,0.042663179,0.0,0,9.0337057,0.0,0.0026026457,22.40123524468792,10.050132,451.19174,-9.2364483,22.40123524468792,0.060484849,73.92261155146225,0.048087898000000004,59.603666363274755,0.0021091183333333333,60.83546050947246,0.002106647358271616,0.002106647358271616
2274,2274,195.3441,3.7112069,0.083357193,0.0,0,9.0044422,0.0,0.0047389716,44.97432708282575,10.022059,451.25644,-9.2366714,44.97432708282575,0.11518759,69.4951756829663,0.09617579600000001,71.03391939381721,0.0042182366666666665,61.4575257310649,0.0042157404249654525,0.0042157404249654525
2275,2275,195.3443,4.9204435,0.11182651,0.0,0,8.9751778,0.0,0.0070413942,59.50735275923534,9.9944458,451.32111,-9.2354107,59.50735275923534,0.15615425,69.17366770591619,0.144263694,69.26698526232819,0.006327355,61.82873375592844,0.006324843680813312,0.006324843680813312
2276,2276,195.3445,5.4027309,0.13672768,0.0,0,8.9459143,0.0,0.0089517171,65.22375094610558,9.9609251,451.38577,-9.2338886,65.22375094610558,0.19743943,69.45760453636476,0.19235159200000002,69.4226131763766,0.008436473333333333,62.09546529754211,0.008433951180218835,0.008433951180218835
2277,2277,195.3447,5.5639653,0.17334108,0.0,0,8.9166498,0.0,0.010802863,66.9940620465886,9.9216843,451.45044,-9.2325211,66.9940620465886,0.23919225,69.0755563772536,0.24043949000000003,69.07264277500583,0.010545591666666666,62.30430331481912,0.010543061031105774,0.010543061031105774
2278,2278,195.3449,5.7217126,0.2288678,0.0,0,8.8873854,0.0,0.014353752,68.61868311845893,9.873558,451.51514,-9.2315588,68.61868311845893,0.28435498,68.97005444366931,0.288527388,68.94100105012284,0.01265471,62.4762105487383,0.012652172382023187,0.012652172382023187
2279,2279,195.3451,5.71242,0.31686941,0.0,0,8.8581219,0.0,0.020308403,68.0724334857332,9.8230371,451.5798,-9.2310343,68.0724334857332,0.33210084,68.63758953113081,0.336615286,68.55373717044377,0.014763828333333333,62.62245710178933,0.014761284775209401,0.014761284775209401
2280,2280,195.3453,5.4645395,0.40028676,0.0,0,8.8288574,0.0,0.02583996,64.72422534438165,9.7725,451.64447,-9.230896,64.72422534438165,0.38143742,67.72120052100075,0.38470318400000003,67.64420405949703,0.016872946666666666,62.74981332910371,0.016870397935670547,0.016870397935670547
2281,2281,195.3455,5.3967209,0.43772519,0.0,0,8.7995939,0.0,0.029065134,63.74615831383003,9.7174807,451.70917,-9.2311659,63.74615831383003,0.430217,66.57113117929751,0.43279108200000005,66.51168210813223,0.018982065,62.86266993147184,0.018979511685068003,0.018979511685068003
2282,2282,195.3457,5.702342,0.46729094,0.0,0,8.7703295,0.0,0.031437367,67.21029563795157,9.6609125,451.77383,-9.2314482,67.21029563795157,0.47829673,65.46071772301396,0.48087898000000007,65.43499396227801,0.021091183333333333,62.964038962890704,0.021088625901060126,0.021088625901060126
2283,2283,195.3459,5.8471069,0.52278739,0.0,0,8.7416534,0.0,0.03445198,68.63579354743005,9.6061945,451.8385,-9.2321768,68.63579354743005,0.52504092,64.99506321266225,0.5289668780000001,64.94003405891192,0.023200301666666666,63.05607774295526,0.023197740496022315,0.023197740496022315
2284,2284,195.3461,5.7803726,0.58603245,0.0,0,8.7136869,0.0,0.038737755,67.53609450004532,9.5551195,451.9032,-9.2326374,67.53609450004532,0.57254815,64.32916646493281,0.577054776,64.29795969127434,0.02530942,63.14038510365474,0.02530685540501425,0.02530685540501425
2285,2285,195.3463,6.0102005,0.63763165,0.0,0,8.6858492,0.0,0.043033093,69.95295378049587,9.5071154,451.96786,-9.231966,69.95295378049587,0.6201188,63.99975672306912,0.625142674,63.963234372120915,0.027418538333333332,63.21817932601247,0.027415970578552593,0.027415970578552593
2286,2286,195.3465,6.4034781,0.65696263,0.0,0,8.6580172,0.0,0.044600517,74.42319673342168,9.4613857,452.03253,-9.231595,74.42319673342168,0.66925579,63.642542670065744,0.673230572,63.65533969580936,0.029527656666666666,63.29041033230295,0.029525085978054016,0.029525085978054016
2287,2287,195.3467,6.3419499,0.6495986,0.0,0,8.6301851,0.0,0.044172902,73.74851589986751,9.4209347,452.0972,-9.2315521,73.74851589986751,0.71752781,63.79795705068747,0.72131847,63.788466735750056,0.031636775,63.35783330851651,0.03163420157284487,0.03163420157284487
2288,2288,195.3469,5.8336544,0.66768527,0.0,0,8.6023531,0.0,0.045333352,67.74639295125368,9.3811407,452.1619,-9.2312508,67.74639295125368,0.76662803,63.675029499470384,0.7694063680000001,63.68136341296674,0.03374589333333333,63.42105866157352,0.033743317338132045,0.033743317338132045
2289,2289,195.3471,5.5615053,0.72422928,0.0,0,8.5745211,0.0,0.048633628,64.31373861331582,9.3446045,452.22656,-9.2312393,64.31373861331582,0.81502157,63.78535462770975,0.8174942660000001,63.79787159634705,0.035855011666666665,63.48058689786648,0.0358524332535863,0.0358524332535863
2290,2290,195.3473,5.8467789,0.77441156,0.0,0,8.546689,0.0,0.052130587,67.35869869502764,9.3131399,452.29123,-9.2314453,67.35869869502764,0.86374402,64.03199124562892,0.8655821640000001,64.05458963572138,0.03796413,63.53683357917987,0.03796154930232861,0.03796154930232861
2291,2291,195.3475,6.2783232,0.80080229,0.0,0,8.518857,0.0,0.054753281,72.1869412414601,9.2794933,452.35593,-9.2315321,72.1869412414601,0.9125542,64.63207017748832,0.9136700620000001,64.64675649959665,0.04007324833333333,63.59014756464391,0.040070665470189254,0.040070665470189254
2292,2292,195.3477,6.4199986,0.81641179,0.0,0,8.491025,0.0,0.055891309,73.72914540630899,9.2453518,452.42059,-9.2313671,73.72914540630899,0.96175796,65.27966124905568,0.96175796,65.27966124905568,0.042182366666666665,63.64082459798537,0.042179781745155895,0.042179781745155895
2293,2293,195.3479,6.3932452,0.8395471,0.0,0,8.4631929,0.0,0.056934953,73.29385536846225,9.2106981,452.48526,-9.2305355,73.29385536846225,,,,,0.044291485,63.68911759727158,0.044288898116955674,0.044288898116955674
2294,2294,195.3481,6.4729533,0.89041042,0.0,0,8.4353609,0.0,0.060484849,73.92261155146225,9.1729994,452.54996,-9.229908,73.92261155146225,,,,,0.04640060333333333,63.73524456432614,0.04639801457673394,0.04639801457673394
2295,2295,195.3483,6.5186844,0.95407104,0.0,0,8.4075289,0.0,0.065017857,74.08556169643992,9.1346178,452.61462,-9.2296448,74.08556169643992,,,,,0.048509721666666665,63.77939474585039,0.04850713111680399,0.04850713111680399
2296,2296,195.3485,6.3124781,0.99950659,0.0,0,8.3796968,0.0,0.068170823,71.49364930482656,9.0945797,452.67929,-9.230258,71.49364930482656,,,,,0.05061884,63.82173349095524,0.05061624773044979,0.05061624773044979
2297,2297,195.3487,6.0797129,1.0324068,0.0,0,8.3518648,0.0,0.070939504,68.68418911271318,9.0537729,452.74396,-9.2313433,68.68418911271318,,,,,0.05272795833333333,63.86240612287559,0.052725364411768685,0.052725364411768685
2298,2298,195.3489,6.1055241,1.0707333,0.0,0,8.3240328,0.0,0.073689803,68.77313158228992,9.0138874,452.80865,-9.2322187,68.77313158228992,,,,,0.054837076666666665,63.901541055982044,0.054834481155544824,0.054834481155544824
2299,2299,195.3491,6.296639,1.11409,0.0,0,8.2962008,0.0,0.076332755,70.68942199998499,8.9716654,452.87332,-9.2328768,70.68942199998499,,,,,0.056946195,63.939252327980334,0.056943597957146305,0.056943597957146305
2300,2300,195.3493,6.3787684,1.1546376,0.0,0,8.2683687,0.0,0.079574399,71.38742564302868,8.9289255,452.93799,-9.2323503,71.38742564302868,,,,,0.05905531333333333,63.97564167457495,0.05905271481244089,0.05905271481244089
2301,2301,195.3495,6.3173757,1.1822555,0.0,0,8.2405367,0.0,0.08202377,70.54922598865723,8.89182,453.00269,-9.2310963,70.54922598865723,,,,,0.061164431666666665,64.01080024222861,0.06116183171772645,0.06116183171772645
2302,2302,195.3497,6.3152809,1.1997073,0.0,0,8.2127056,0.0,0.0829667,70.43036182054348,8.8579683,453.06735,-9.2310715,70.43036182054348,,,,,0.06327355,64.0448100124703,0.06327094866967312,0.06327094866967312
2303,2303,195.3499,6.3983445,1.2213988,0.0,0,8.1848736,0.0,0.084543347,71.23648925226905,8.8262272,453.13202,-9.2314644,71.23648925226905,,,,,0.06538266833333334,64.07774499410907,0.06538006566527485,0.06538006566527485
2304,2304,195.3501,6.3970532,1.2539908,0.0,0,8.1570406,0.0,0.087078415,71.04149383763637,8.7932911,453.19672,-9.2312727,71.04149383763637,,,,,0.06749178666666666,64.10967222737993,0.06748918270180863,0.06748918270180863
2305,2305,195.3503,6.2643657,1.2913634,0.0,0,8.1292095,0.0,0.089377128,69.36512488593766,8.7627373,453.2515,-9.230979,69.36512488593766,,,,,0.06960090499999999,64.14065263461923,0.06959829977679999,0.06959829977679999
2306,2306,195.3505,6.1786366,1.3193798,0.0,0,8.1013775,0.0,0.091575027,68.26587113544736,8.7336855,453.29642,-9.2309942,68.26587113544736,,,,,0.07171002333333333,64.17074174462039,0.07170741688799348,0.07170741688799348
2307,2307,195.3507,6.337985,1.3371772,0.0,0,8.0735445,0.0,0.093377523,69.9287284412339,8.7051363,453.34131,-9.2314148,69.9287284412339,,,,,0.07381914166666667,64.19999031295582,0.07381653403332754,0.07381653403332754
