Strain,Stress_MPa,std_Stress_MPa,up_std_Stress_MPa,down_std_Stress_MPa,up_2std_Stress_MPa,down_2std_Stress_MPa,up_3std_Stress_MPa,down_3std_Stress_MPa,min_Stress_MPa,max_Stress_MPa,q1_Stress_MPa,q3_Stress_MPa
0.0006442910035869,16.124469343077312,14.8910823844635,31.01555172754081,1.2333869586138118,45.90663411200431,-13.657695425849688,60.797716496467814,-28.548777810313187,-1.24752732028509,35.9473115148142,0.021429423740168325,27.608920994996353
0.0006916372536425945,18.99567082196506,14.462560417203273,33.458231239168335,4.533110404761787,47.920791656371605,-9.929450012441485,62.38335207357488,-24.39201042964476,-0.843259542320858,37.3650276859614,1.1266844276041215,28.912745348912537
0.000738983503698289,21.74175772706032,14.252484893989545,35.994242621049864,7.4892728330707765,50.24672751503941,-6.763212060918768,64.49921240902896,-21.01569695490831,-0.843259542320858,39.83706320710089,11.954338812316955,31.47895126349406
0.0007863297537539835,25.707924965165443,13.23348465251695,38.941409617682396,12.474440312648493,52.174894270199346,-0.7590443398684563,65.4083789227163,-13.992528992385406,0.025880228309496,42.48978259064193,21.729266355762046,33.75250850716689
0.0008336760038096779,27.63803649251514,14.043413565673628,41.68145005818877,13.594622926841513,55.7248636238624,-0.448790638832115,69.76827718953602,-14.49220420450574,0.025880228309496,45.02657700919364,24.280346088716744,36.314022267898686
0.0008810222538653725,32.29711273863235,11.499503724574367,43.79661646320672,20.797609014057983,55.296120187781085,9.298105289483615,66.79562391235545,-2.201398435090752,1.49361916070233,47.29724305956961,31.253114757486983,38.41136983033403
0.0009283685039210669,34.181984566812595,11.946855669434456,46.12884023624705,22.23512889737814,58.075695905681506,10.288273227943684,70.02255157511595,-1.658582441490772,1.49361916070233,49.300001030448605,33.25720318013466,40.47662893374644
0.0009757147539767614,36.183365121879355,12.45592598386824,48.639291105747596,23.727439138011114,61.095217089615836,11.271513154142873,73.55114307348407,-1.1844128297253675,1.49361916070233,51.36147172817379,35.39367628631193,42.506455751493725
0.0010230610040324558,40.94681404521453,6.48602925144939,47.43284329666392,34.46078479376514,53.91887254811331,27.97475554231575,60.4049017995627,21.48872629086636,30.024285438938104,53.657146482431685,37.21167663659499,44.508219948199695
0.0010704072540881505,42.94443238637073,6.570385493565764,49.514817879936494,36.37404689280496,56.08520337350225,29.8036613992392,62.65558886706802,23.233275905673437,32.064350548894915,55.93272668237887,39.006339655644126,46.61709449208627
0.0011177535041438447,45.05661104395403,6.564790089344364,51.62140113329839,38.491820954609665,58.186191222642755,31.9270308652653,64.75098131198712,25.362240775920935,34.36387285478499,58.10239197918506,41.33431286791926,48.812683441804644
0.0011650997541995394,47.05822765167108,6.541873222487984,53.60010087415907,40.516354429183096,60.14197409664705,33.97448120669512,66.68384731913503,27.43260798420713,36.5301518475196,60.22928474085562,43.20277970380637,50.9393249850839
0.0012124460042552338,49.359027529544164,6.977281953074297,56.33630948261846,42.38174557646987,63.31359143569276,35.40446362339557,70.29087338876705,28.42718167032127,38.642388560795624,62.269036121145795,45.19235922333196,53.0012224462485
0.0012597922543109282,51.34770292445065,6.970481776524621,58.31818470097527,44.37722114792603,65.28866647749989,37.40673937140141,72.25914825402451,30.43625759487679,40.69465727316707,64.22159753221592,46.97228188660284,55.0224083642656
0.0013071385043666227,53.31332695067639,7.0185657441225455,60.33189269479894,46.294761206553844,67.35045843892148,39.2761954624313,74.36902418304402,32.257629718308756,42.58485343556034,66.2661859626794,48.862258468212694,57.08436371361164
0.0013544847544223171,55.29109469718227,6.995174579694558,62.28626927687682,48.29592011748771,69.28144385657139,41.30074553779315,76.27661843626595,34.30557095809859,44.84640945949881,68.33825116452847,50.81389190653241,59.14775852379705
0.0014018310044780118,57.24355802839259,7.074350792333184,64.31790882072578,50.16920723605941,71.39225961305895,43.09485644372622,78.46661040539215,36.02050565139304,47.01990758018812,70.48976448170635,52.65927329312012,61.02292044387954
0.001449177254533706,59.0971646560159,7.136065606570262,66.23323026258616,51.961099049445636,73.36929586915642,44.82503344287537,80.50536147572669,37.68896783630511,49.075114553416036,72.74766249344269,54.54343800854082,62.79678728260473
0.0014965235045894007,60.95110297008725,7.080949112506511,68.03205208259376,53.87015385758074,75.11300119510027,46.78920474507423,82.19395030760678,39.70825563256771,50.93007977089642,74.84161329985726,56.33162342745346,64.80248613076965
0.0015438697546450951,62.73894238650175,7.032242309269886,69.77118469577164,55.70670007723186,76.80342700504153,48.674457767961975,83.8356693143114,41.64221545869209,52.516915341358526,76.75292491663596,58.03972580181155,66.74565929186116
0.0015912160047007896,64.62344652530469,7.1152069511498075,71.73865347645449,57.50823957415488,78.8538604276043,50.39303262300507,85.9690673787541,43.27782567185527,54.36186049570613,78.41651216122965,59.68852337414423,68.72521614333827
0.001638562254756484,66.50839831632722,7.065301416104367,73.57369973243158,59.44309690022285,80.63900114853595,52.37779548411848,87.70430256464032,45.31249406801412,56.58925685402152,80.25780400194876,61.51845094980826,70.64200200272616
0.0016859085048121785,68.3583229544909,7.085388494894825,75.44371144938573,61.27293445959608,82.52909994428055,54.18754596470125,89.61448843917537,47.10215746980643,58.37745992467812,82.21136000392737,63.457480314347464,72.65065580405857
0.0017332547548678731,70.25881842432825,7.127230764101411,77.38604918842967,63.13158766022684,84.51327995253108,56.00435689612543,91.64051071663249,48.87712613202402,60.401996397616344,84.15771953310102,65.25661397514041,74.68257806457336
